"datetime","player","message"
"01/10/2025 09:25:58","Maya","@Carlos Escat let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"01/10/2025 09:26:02","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"01/10/2025 09:26:39","Carlos Escat","I think we need <@U047N6LUYJX> and <@U0480TP9ZA5>"
"01/10/2025 09:27:02","Maya","I will add them"
"01/10/2025 09:27:16","Maya","I will add @daniel as well"
"01/10/2025 09:27:30","Carlos Escat","probably also <@U047N6LHU0K>"
"01/10/2025 09:27:30","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security"
"01/10/2025 09:27:45","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage, followed by forensics on it"
"01/10/2025 09:27:55","Maya","Meanwhile, I've got this from Cyvantics. @Carlos Escat, can you help track the steps and coordinate?"
"01/10/2025 09:27:56","Carlos Escat","ok <@U06CA3MRAJF> how should we proceed?"
"01/10/2025 09:27:57","Maya","<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
"01/10/2025 09:28:02","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help team run through it"
"01/10/2025 09:28:35","Carlos Escat","Steps for Isolation:


Steps to be done, mentioned along with the *owning* team
1. Disconnect the infected server -&gt; Platforms 
2. Cut off infrastructure traffic -&gt; Platforms
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; Platforms
5. Take snapshots (Disk &amp; Memory) -&gt; Ask team
6. Kill suspicious process or activity -&gt; Platforms
Steps for Restoration:


Steps to be done, mentioned along with the *owning* team
1. Validate backups → Security
2. Wipe infected systems → Platforms
3. Rebuild from clean backup → Platforms
4. Re-enable security agent on the servers → Security
5. Reconnect traffic to services and monitor → Platforms
"
"01/10/2025 09:28:49","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"01/10/2025 09:28:53","Tanya","Disconnecting the checkout servers from the infra now"
"01/10/2025 09:28:55","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"01/10/2025 09:28:57","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"01/10/2025 09:29:09","Daniel","Step 3 done, DB connection to checkout is now cut"
"01/10/2025 09:29:11","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"01/10/2025 09:29:13","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"01/10/2025 09:29:19","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"01/10/2025 09:29:24","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"01/10/2025 09:29:34","Hamed","Step 6 done, The Script has been killed. @Carlos Escat let us know and double-check if anything else is pending on our side"
