datetime,player,channel,message
2026-01-29 14:05:43,shay,online-boutique-7562,Morning team! Feeling pumped for the big ?Hipster Haul? event this week?
2026-01-29 14:05:46,bez,online-boutique-7562,Absolutely! Can't wait to see all our hard work pay off. 
2026-01-29 14:05:50,tanya,online-boutique-7562,"Agreed, it's going to be a game-changer for us"
2026-01-29 14:05:56,bob,online-boutique-7562,Customer support team standing by to handle any queries. Let's do this!
2026-01-29 14:06:02,bez,online-boutique-7562,"Team, the excitement is palpable! I have full confidence in each of you to make this event a roaring success."
2026-01-29 14:06:05,bez,online-boutique-7562,"Let's showcase our best and leave our customers thrilled with what we have to offer. Together, we'll make it happen!"
2026-01-29 14:06:08,tinus,online-boutique-7562,"Absolutely, Bez! And let's not forget the potential revenue boost this event could bring. Our projections are looking promising."
2026-01-29 14:06:11,tanya,online-boutique-7562,:moneybag: :moneybag: :moneybag:
2026-01-29 14:06:14,daniel,online-boutique-7562,Fingers crossed everything goes smoothly this time! :crossed_fingers: :joy:
2026-01-29 14:06:21,uptimelabs,online-boutique-7562,"Welcome to Details Matter, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-29 14:06:52,tinus,online-boutique-7562,"Speaking of celebrations, any recommendations for a post-event holiday destination? I could use some time off after this!"
2026-01-29 14:06:57,maya,online-boutique-7562,How about a tropical paradise with no Wi-Fi? :desert_island: 
2026-01-29 14:07:01,bob,online-boutique-7562,"Hey folks, hate to rain on the parade, but I've got some new reports coming in about customers encountering issues with the products on the website."
2026-01-29 14:07:06,daniel,online-boutique-7562,"Yeah, Bob, anything specific you're noticing? Error messages, affected payment methods?"
2026-01-29 14:07:10,bob,online-boutique-7562,Customers are not able to place orders
2026-01-29 14:07:14,tanya,online-boutique-7562,"Alright team, let's get to work. Tinus, you can start planning that holiday once we've got this sorted!."
2026-01-29 14:07:18,tinus,online-boutique-7562,"Deal! But first, let's get to the bottom of this issue"
2026-01-29 14:07:21,bez,online-boutique-7562,"Hey team, just dropping in to emphasise the urgency of resolving this issue swiftly. We've got a major event on the horizon - the launch of our exclusive ""Hipster Haul Weekend"" next week."
2026-01-29 14:07:26,bez,online-boutique-7562,"It's poised to be our biggest sale yet, and any delays caused by this payment glitch could seriously impact our preparations."
2026-01-29 14:07:29,PLAYER,online-boutique-7562,Just tried a quick order seems okay so far
2026-01-29 14:07:29,bez,online-boutique-7562,Let's prioritise frequent updates and keep the communication channels wide open.
2026-01-29 14:07:32,uptimelabs,online-boutique-7562,:star: Attempt to replicate the issue
2026-01-29 14:07:33,shay,online-boutique-7562,We have a lot of recent changes made to the platform so im going to compile a list with the changes and the descriptions.
2026-01-29 14:07:38,shay,online-boutique-7562,Will send it over soon
2026-01-29 14:07:44,shay,online-boutique-7562,trying to place order now as well
2026-01-29 14:07:55,PLAYER,online-boutique-7562,
2026-01-29 14:07:55,uptimelabs,business-comms-7562,*Incident Number INC100038:* SEV-2 Customers unable to place orders
2026-01-29 14:08:08,shay,online-boutique-7562,"Here's the list of all the changes that went live recently 
https://uptime-labs.atlassian.net/wiki/external/YjZjNWFhYjFlZmQ0NDBmOWFlZDNlY2VjNDUxNzc4NjA"
2026-01-29 14:08:09,PLAYER,business-comms-7562,Hi team we're hearing reports of customer issues being unable to order
2026-01-29 14:08:12,PLAYER,business-comms-7562,Investigating now
2026-01-29 14:08:14,uptimelabs,online-boutique-7562,:star: Qualify the problem
2026-01-29 14:08:14,uptimelabs,online-boutique-7562,:star: Formally assign criticality level to the incident
2026-01-29 14:08:44,daniel,online-boutique-7562,I will take a look and see if I can find anything in a mean time
2026-01-29 14:08:50,PLAYER,online-boutique-7562,"@bob how many reports are we seeing, from all over the world or just certain regions? Certain payment methods maybe? What ties these reports all together"
2026-01-29 14:08:57,uptimelabs,online-boutique-7562,:star: Asking questions to validate impact of the problem
2026-01-29 14:09:02,bob,online-boutique-7562,from what i can tell most of the reports seems to be coming from the two regions
2026-01-29 14:09:05,bob,online-boutique-7562,My team has gathered the customer reports as of the last 3 hours to make it easier to understand
2026-01-29 14:09:06,PLAYER,online-boutique-7562,also @bob when did we start seeing issues exactly
2026-01-29 14:09:09,bob,online-boutique-7562,
2026-01-29 14:09:15,bez,business-comms-7562,What is going on with the website now? We are about to launch Hipster Haul
2026-01-29 14:09:21,bob,online-boutique-7562,Perhaps its similar to our incident in Frankfurt with the network being down for that region?
2026-01-29 14:09:23,tinus,business-comms-7562,Is this a payment outage? I need clarity fast
2026-01-29 14:09:47,PLAYER,online-boutique-7562,Okay so a somewhat regional issue it would seem. Are we seeing higher than normal traffic from those regions?
2026-01-29 14:09:53,bob,online-boutique-7562,The first report was submitted 2 hours ago
2026-01-29 14:10:04,PLAYER,business-comms-7562,It appears to maybe be localised to Japan and Turkey at this time
2026-01-29 14:10:09,PLAYER,business-comms-7562,Investigating further!
2026-01-29 14:10:12,shay,online-boutique-7562,Could be catalog or could be payment?
2026-01-29 14:10:27,tanya,online-boutique-7562,I will take a glance at the traffic
2026-01-29 14:10:56,PLAYER,online-boutique-7562,Well change ID CHG89873 sounds like it could be relevant if it involves an issue surrounding currency exchange from those regions
2026-01-29 14:10:57,tanya,online-boutique-7562,There's no surge in traffic for those 2 specific regions
2026-01-29 14:10:58,tanya,online-boutique-7562,Infra looks stable. No node or pod failures. Might be service-level
2026-01-29 14:11:02,uptimelabs,online-boutique-7562,:star: Check changes done to the platform
2026-01-29 14:11:17,daniel,online-boutique-7562,"We can roll it back, it looks safe"
2026-01-29 14:11:30,daniel,online-boutique-7562,"From first glance, checkout is erroring when currency conversion kicks in"
2026-01-29 14:11:32,PLAYER,online-boutique-7562,@daniel can we try that please? It lines up with when issues started being reported
2026-01-29 14:11:47,daniel,online-boutique-7562,Change CHG89873 has been sucessfully rolledback
2026-01-29 14:11:56,shay,online-boutique-7562,Hopefully that solved the issue
2026-01-29 14:11:59,maya,online-boutique-7562,"I made the most recent change to the currency service which is basically a security patch, I don't see how it would be causing this issue."
2026-01-29 14:12:02,daniel,online-boutique-7562,ill check the platform just incase it hasn't made anything worse
2026-01-29 14:12:03,shay,online-boutique-7562,"Card flow seems fine in GBP , but something’s off when switching currencies"
2026-01-29 14:12:05,tinus,online-boutique-7562,Can we confirm if everythings back working?
2026-01-29 14:12:15,PLAYER,online-boutique-7562,@bob can you confirm with customers if things are working again now?
2026-01-29 14:12:20,bez,business-comms-7562,So this affects international customers only? How much revenue is that?
2026-01-29 14:12:40,PLAYER,business-comms-7562,"Not much, those two regions only make up a small percentage of revenue"
2026-01-29 14:12:51,PLAYER,business-comms-7562,We have rolled back a change in an attempt to fix so far
2026-01-29 14:12:51,bob,online-boutique-7562,"Reports are still pouring in, and it doesn't look good"
2026-01-29 14:12:54,PLAYER,business-comms-7562,but continuing to investigate
2026-01-29 14:13:11,daniel,online-boutique-7562,Hmm.... looks like that wasn't the cause
2026-01-29 14:13:18,daniel,online-boutique-7562,Investigating
2026-01-29 14:13:27,PLAYER,online-boutique-7562,Okay. @daniel what errors are we seeing exactly now since rolling back? What's in the logs
2026-01-29 14:13:31,uptimelabs,online-boutique-7562,:star: Facts over opinion
2026-01-29 14:13:31,uptimelabs,online-boutique-7562,:star: Reviewed changes
2026-01-29 14:13:45,daniel,online-boutique-7562,Checking logs as we speak
2026-01-29 14:13:47,shay,online-boutique-7562,"Wait, I switched my currency to JPY and ₺ and now the homepage errors"
2026-01-29 14:13:52,shay,online-boutique-7562,Looks currency-specific!
2026-01-29 14:13:53,PLAYER,business-comms-7562,The rollback does not seemed to have fixed the issue yet
2026-01-29 14:14:09,daniel,online-boutique-7562,That narrows it to currencyservice or its upstream exchange provider
2026-01-29 14:14:26,PLAYER,online-boutique-7562,"Good spot @shay yes it's erroring on japan and turkey currencies with this error

Uh, oh!
Something has failed. Below are some details for debugging:

HTTP Status: 500 Internal Server Error

Error Message: rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp 172.20.164.247:7000: connect: connection refused"" failed to fetch necessary data for processing

Function: main.(*dataProcessor).fetchData

File: /src/data_processor.go:124

We apologize for the inconvenience. Our system encountered an unexpected issue while attempting to retrieve essential data. Our team is actively investigating the problem. Please try your request again later.

If you need immediate assistance, please contact support."
2026-01-29 14:14:36,daniel,online-boutique-7562,"I’m seeing this in currencyservice:
ERROR 401 Unauthorized - Exchange Rate Provider"
2026-01-29 14:14:55,daniel,online-boutique-7562,Checkout calls currencyservice before price render
2026-01-29 14:14:59,PLAYER,online-boutique-7562,CHG89692 does contain an API key change for the provider - could this be the cause?
2026-01-29 14:15:20,PLAYER,online-boutique-7562,Maybe the new API key isn't authorised for those currencies or something
2026-01-29 14:15:24,uptimelabs,online-boutique-7562,:star: Form a working theory
2026-01-29 14:15:26,daniel,online-boutique-7562,401 means the API key could be invalid or expired
2026-01-29 14:15:47,shay,online-boutique-7562,But the outage started 2 hours after the last deploy…
2026-01-29 14:15:55,tanya,online-boutique-7562,"Cache TTL is 12 hours. If the key was wrong but cache warm, failure would be delayed"
2026-01-29 14:15:55,PLAYER,online-boutique-7562,Do we convert all currencies outside of EUR? Like GBP and CAD? Those ones seem to be working fine
2026-01-29 14:16:49,PLAYER,online-boutique-7562,It could be cache related maybe for a delayed impact
