datetime,player,channel,message
2025-11-14 14:10:14,Bez,online-boutique-6781,"Morning, team! Anyone else need a triple espresso today?"
2025-11-14 14:10:23,Tinus,online-boutique-6781,"You're not the only one, Bez! The reports from last week are still giving me nightmares."
2025-11-14 14:10:33,Bob,online-boutique-6781,"Tell me about it, Tinus."
2025-11-14 14:10:36,Bob,online-boutique-6781,"But hey, at least it's sunny outside today. :sunrise:"
2025-11-14 14:10:38,Bez,online-boutique-6781,"True, a little sunshine makes everything better."
2025-11-14 14:10:40,Bez,online-boutique-6781,"Also, I'm having my usual green smoothie. That's my secret energy booster."
2025-11-14 14:10:42,Daniel,online-boutique-6781,"Nice, Bez! I'll stick with my coffee though."
2025-11-14 14:10:43,Daniel,online-boutique-6781,Anyone else excited for the launch of the new BitCoin :coin: payment feature this week?
2025-11-14 14:10:45,Tinus,online-boutique-6781,"Absolutely, Daniel! Been looking forward to it."
2025-11-14 14:10:47,Tinus,online-boutique-6781,"By the way, no spoilers, but did anyone catch the football game? Epic comeback!"
2025-11-14 14:10:50,Shay,online-boutique-6781,I missed it! I was knee deep in a sci-fi novel. Anyone else into that?
2025-11-14 14:10:58,Tanya,online-boutique-6781,"Oh, I love sci-fi! Can you share the name of the book, Shay?"
2025-11-14 14:11:06,Daniel,online-boutique-6781,I've been reading a bit of sci-fi myself.
2025-11-14 14:11:08,Daniel,online-boutique-6781,"Looking forward to sharing recommendations, Shay!"
2025-11-14 14:11:12,Bez,online-boutique-6781,"There's always so much happening outside of work! Keep the energy :battery: going, team."
2025-11-14 14:11:16,Bez,online-boutique-6781,It's going to be another productive day. :raised_hands:
2025-11-14 14:11:18,UptimeLabs,online-boutique-6781,"Welcome to The Chain, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-14 14:12:45,PLAYER,online-boutique-6781,Clicked Start button
2025-11-14 14:12:45,UptimeLabs,online-boutique-6781,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-14 14:12:46,Bob,online-boutique-6781,"Hey, we're getting reports of customers struggling to make purchases"
2025-11-14 14:12:48,Bob,online-boutique-6781,@here Anyone else seeing this?
2025-11-14 14:12:51,Tinus,online-boutique-6781,"Yes, I've noticed the same, @Bob . It seems like an error in the system"
2025-11-14 14:12:54,Bez,online-boutique-6781,"Whatever it is, we need to sort it out quickly."
2025-11-14 14:12:56,Bez,online-boutique-6781,we need to step on it! before the social media backlash is turning into a storm.
2025-11-14 14:13:00,Tinus,online-boutique-6781,"Who is handling incidents today? Please size up the issue, this is urgent"
2025-11-14 14:13:24,PLAYER,online-boutique-6781,Hi Bob where are these customers located? globally or a specific region?
2025-11-14 14:13:33,UptimeLabs,online-boutique-6781,:star: Asking questions to validate impact of the problem
2025-11-14 14:13:40,Bob,online-boutique-6781,Let me check the reports
2025-11-14 14:13:56,Bob,online-boutique-6781,"Getting over 120+ reports, looks like customers unable to make payments"
2025-11-14 14:14:08,Bob,online-boutique-6781,Looks like a European issue
2025-11-14 14:14:11,PLAYER,online-boutique-6781,Bob do you get any specifics? what problems are they encountering with the payment? any error messages ?
2025-11-14 14:14:33,Bob,online-boutique-6781,They are facing while trying to do payments via bitcoin
2025-11-14 14:15:32,PLAYER,business-comms-6781,Sev 1 - European customers not able to perform bitcoin payments - 120 + reports so far
2025-11-14 14:15:38,UptimeLabs,online-boutique-6781,:star: Qualify the problem
2025-11-14 14:15:38,UptimeLabs,online-boutique-6781,:star: Formally assign criticality level to the incident
2025-11-14 14:15:48,PLAYER,online-boutique-6781,Sev 1 - European customers not able to perform bitcoin payments - 120 + reports so far
2025-11-14 14:16:16,Bez,business-comms-6781,Is this an internal issue or related to any 3rd party provider from Europe?
2025-11-14 14:16:33,Bob,online-boutique-6781,Reports are rising
2025-11-14 14:17:35,PLAYER,online-boutique-6781,Daniel Hamed  Any changes done recently that could be causing this?
2025-11-14 14:17:42,UptimeLabs,online-boutique-6781,:star: Check changes done to the platform
2025-11-14 14:17:54,Bob,online-boutique-6781,Wait
2025-11-14 14:18:18,Bob,online-boutique-6781,New reports are coming up saying none of the users are able to pay now
2025-11-14 14:18:23,PLAYER,online-boutique-6781,Bob These reports from Europe any specific counties that form a patern?
2025-11-14 14:18:36,Daniel,online-boutique-6781,Here are the changes : <https://uptime-labs.atlassian.net/wiki/external/MjMxNGU0ZjU1ZTVhNDA0NWJmY2M1NjU1OGFiMGY2YjA>
2025-11-14 14:18:57,Bob,online-boutique-6781,Order confirmations metric is flat to 0
2025-11-14 14:19:30,PLAYER,online-boutique-6781,Daniel This Change CHG89779 - What was done? And was it properly tested?
2025-11-14 14:19:34,UptimeLabs,online-boutique-6781,:star: Reviewed changes
2025-11-14 14:19:41,Daniel,online-boutique-6781,I'm seeing errors in payment logs
2025-11-14 14:20:07,PLAYER,online-boutique-6781,Daniel Is this an internal issue or related to any 3rd party provider from Europe?
2025-11-14 14:20:17,Daniel,online-boutique-6781,[ERROR] [payment-service] Transaction failed - unknown error returned from upstream service. TraceID=7fdc91a2
2025-11-14 14:20:34,Daniel,online-boutique-6781,"About 3rd party , platform guys give us more clarity"
2025-11-14 14:20:41,PLAYER,business-comms-6781,Sev 1 - Payments now not possible globally - Resolver team have found errors in logs
2025-11-14 14:20:53,Daniel,online-boutique-6781,So far i'm seeing there are so many popped in payment service logs
2025-11-14 14:21:19,Bez,business-comms-6781,This is worst. How fast can we come back online for the payments ?
2025-11-14 14:21:23,PLAYER,online-boutique-6781,Daniel would this indicate a 3rd party? returned from upstream service.?
2025-11-14 14:21:55,Daniel,online-boutique-6781,There seems to be an error coming up from cart service which act as an upstream for payments
2025-11-14 14:22:06,Daniel,online-boutique-6781,[WARN] [cart-service] Request to payment endpoint timed out after 3000ms. Retrying (attempt 3/5)...
2025-11-14 14:22:39,PLAYER,online-boutique-6781,Tanya Is see your name on this CHG89778 related to CartRedis - Please check if related
2025-11-14 14:23:01,Tanya,online-boutique-6781,Sure
2025-11-14 14:23:16,Tanya,online-boutique-6781,Do we know at what time the issue started ?
2025-11-14 14:23:35,PLAYER,online-boutique-6781,Bob Do we know at what time the issue started ?
2025-11-14 14:23:39,UptimeLabs,online-boutique-6781,:star: Facts over opinion
2025-11-14 14:23:52,Bob,online-boutique-6781,Around 2 hrs ago
2025-11-14 14:24:10,Tanya,online-boutique-6781,Then latest change around that time was into payments
2025-11-14 14:24:37,PLAYER,online-boutique-6781,Tanya can you elaborate?
2025-11-14 14:24:40,Tanya,online-boutique-6781,I dont see it as a 3rd party issue
2025-11-14 14:24:57,Tanya,online-boutique-6781,This looks like to be a payments change causing it
2025-11-14 14:25:24,Bez,business-comms-6781,Have we prepared any holding statement for the customers ?
