datetime,player,channel,message
2026-02-17 15:06:13,bez,online-boutique-7757,Hey team!:rocket: Can you believe it's been 8 fantastic years for Online Boutique?
2026-02-17 15:06:17,bez,online-boutique-7757,"Before we dive into anniversary celebrations, let's give a warm welcome to Maya, our new Security Analyst. She's got 5 years of cybersecurity expertise under her belt! :clap: "
2026-02-17 15:06:22,maya,online-boutique-7757,"Hi everyone! :raised_hand_with_fingers_splayed: Thrilled to be here, especially on such a special occasion. Let's make Online Boutique even successful and secure together!"
2026-02-17 15:06:25,tinus,online-boutique-7757,"Welcome, Maya! Your experience will elevate our cybersecurity efforts."
2026-02-17 15:06:29,tanya,online-boutique-7757,"Excited to have you, Maya! Bez has been very excited to have you on the team."
2026-02-17 15:06:32,daniel,online-boutique-7757,"Impressive! Eager to learn from you, Maya."
2026-02-17 15:06:36,shay,online-boutique-7757,":+1: Welcome Maya, pleasure meeting you."
2026-02-17 15:06:39,bob,online-boutique-7757,Hi Maya! Your experience is top-notch. Cheers to you and to Online Boutique's 8-year anniversary! :partying_face: :tada:
2026-02-17 15:06:42,maya,online-boutique-7757,Thanks for the warm welcome! Excited for the celebration and our anniversary party.
2026-02-17 15:06:52,uptimelabs,online-boutique-7757,"Welcome to The Switch, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-17 15:09:04,bez,online-boutique-7757,We are all so glad you have joined us Maya
2026-02-17 15:09:06,tinus,online-boutique-7757,"Hold on, team. Quick check-in. Is anyone else experiencing internet problems or slow connectivity?"
2026-02-17 15:09:09,shay,online-boutique-7757,"Internet's definitely sluggish, was loading up github and it took ages to load"
2026-02-17 15:09:12,bez,online-boutique-7757,Perhaps it could be due to the increase of sales we have been having with this anniversary sale?
2026-02-17 15:09:14,hamed,online-boutique-7757,"Hey team, we've seen some weird traffic from our data centre network in the last couple of days, it's been mostly minor but never as bad compared to now although"
2026-02-17 15:09:18,tanya,online-boutique-7757,Hamed and I will have been monitoring outbound traffic. Checking for anomalies again.
2026-02-17 15:09:25,daniel,online-boutique-7757,I will try to place an order and check the platform.
2026-02-17 15:09:35,shay,online-boutique-7757,Just ran a test on my internet speed.
2026-02-17 15:09:38,shay,online-boutique-7757,
2026-02-17 15:09:54,PLAYER,online-boutique-7757,"I also tried to place an order, worked for me:"
2026-02-17 15:09:57,uptimelabs,online-boutique-7757,:star: Attempt to replicate the issue
2026-02-17 15:10:22,PLAYER,online-boutique-7757,@bob have we received any player complaints? 
2026-02-17 15:10:26,uptimelabs,online-boutique-7757,:star: Asking questions to validate impact of the problem
2026-02-17 15:10:29,daniel,online-boutique-7757,I was able to place an order but for some reason it took ages to get an order
2026-02-17 15:10:48,bob,online-boutique-7757,Sure let me check the reports
2026-02-17 15:10:49,PLAYER,online-boutique-7757,For me it worked like a charm
2026-02-17 15:11:01,shay,online-boutique-7757,I'm not even able to open up internal sites
2026-02-17 15:11:15,bob,online-boutique-7757,"Seems that the users are experiencing a few issues, some say they have slow lad times"
2026-02-17 15:11:16,PLAYER,online-boutique-7757,Lets see if we have any pleyer complaints. @bob anything?
2026-02-17 15:11:20,bob,online-boutique-7757,others say they cant access the site
2026-02-17 15:11:26,bob,online-boutique-7757,and others are timing out due to the long load times
2026-02-17 15:11:36,bob,online-boutique-7757,seems to be global
2026-02-17 15:11:37,PLAYER,online-boutique-7757,is there any specifics? steps to reproduce?
2026-02-17 15:11:41,uptimelabs,online-boutique-7757,:star: Reproduces the incident
2026-02-17 15:11:47,bob,online-boutique-7757,"not all users are reporting this issue, we have about 150 reports on this so far"
2026-02-17 15:12:01,PLAYER,online-boutique-7757,"Everything still working for me, no lags, all wwork as expected"
2026-02-17 15:12:03,bob,online-boutique-7757,This is an intermittent issue but impacting users
2026-02-17 15:12:21,PLAYER,online-boutique-7757,
2026-02-17 15:12:21,uptimelabs,business-comms-7757,*Incident Number INC100090:* create P4 Intermittent issues with bet placement
2026-02-17 15:13:19,PLAYER,online-boutique-7757,@shay has there been and changes done lately?
2026-02-17 15:13:23,uptimelabs,online-boutique-7757,:star: Check changes done to the platform
2026-02-17 15:13:25,bob,online-boutique-7757,@PLAYER Reports are increasing. Get on top of it fast before it comes down to a full failure
2026-02-17 15:13:41,shay,online-boutique-7757,Latest changes : https://uptime-labs.atlassian.net/wiki/external/NGRkNTNhZDVjZDUyNDU5NDk2Yjg3NzcxMTE1YjkxOTA
2026-02-17 15:14:08,PLAYER,online-boutique-7757,We can see that the user activity is higher than usual and HTTP response time is high as well? can anyone comment on that?
2026-02-17 15:14:12,uptimelabs,online-boutique-7757,:star: Use metrics as evidence
2026-02-17 15:14:17,daniel,online-boutique-7757,Shall i check the logs to find any potential issues ?
2026-02-17 15:14:37,PLAYER,business-comms-7757,incident created and we are currently investigatiog
2026-02-17 15:15:00,PLAYER,business-comms-7757,"Incident summary: Intermittent global platform slowness and connectivity issues reported during anniversary sale with some users unable to access site or experiencing timeouts while others unaffected.
 Impact: Approximately 150 user reports of slow load times, timeouts and inability to access site, issue appears global and intermittent while internal users also report slow or inaccessible internal sites. 
Start date/time: 17/02/2026, 15:09 UTC. 
Next steps: - Validate scope and affected regions - Review outbound traffic anomalies from data centre - Check infrastructure load related to anniversary sale traffic - Continue monitoring player complaints and error rates "
2026-02-17 15:15:02,bez,business-comms-7757,Is it a global issue ?
2026-02-17 15:15:12,PLAYER,online-boutique-7757,yes @daniel please check
2026-02-17 15:15:42,daniel,online-boutique-7757,I'm seeing lot of network timeouts. Probably platform team could help us here more
2026-02-17 15:15:53,PLAYER,online-boutique-7757,Issue currently seems to be on high load. Are our servers able to handle that load?
2026-02-17 15:16:12,PLAYER,online-boutique-7757,@hamed Could you please check into it asap
2026-02-17 15:16:25,bez,business-comms-7757,Do we have a working theory to fix this issue ?
2026-02-17 15:16:31,PLAYER,online-boutique-7757,we are currently receiving intermittent issues on placing orders and players complaint slowness
2026-02-17 15:16:35,uptimelabs,online-boutique-7757,:star: Qualify the problem
2026-02-17 15:16:37,hamed,online-boutique-7757,Sure let me test the network infra
2026-02-17 15:17:01,hamed,online-boutique-7757,"Checking the chats so far , i've got a theory"
2026-02-17 15:17:05,PLAYER,business-comms-7757,"This is currently global, issues come from network timeouts. Hamed already investigating"
2026-02-17 15:17:18,PLAYER,business-comms-7757,Working on findting the fix
2026-02-17 15:17:20,hamed,online-boutique-7757,This is a network issue
2026-02-17 15:17:30,hamed,online-boutique-7757,There is a spike in outbound connections in the edge router and the origin IP block 10.50.0.0/24. That IP range is the same as the IP block the frontend and payments are hosted on. Could this be related to a change made?
2026-02-17 15:18:05,PLAYER,online-boutique-7757,@shay could you confirm if any changes are related to @hamed theory?
