session_start,id,player,name,AI_OR_MANUAL,SaaS,last_state,session_id,GUOT,surprises,learnedToday
03/06/2026 09:29,9296,lucy.mccormack,Too Good To Be True,AI,0,retro,,,,
13/04/2026 13:30,8406,jack.walsh,Too Good To Be True,AI,1,aborted,,,,
10/04/2026 10:13,8387,ruairi.corrigan,Too Good To Be True,AI,1,retro,8387,10,The volume of details. Took a while to understand flow,Adjust communications depending on who you are talking to. Tech/Business
02/03/2026 11:12,7859,patrick.collins,Too Good To Be True,AI,1,retro,7859,10,The interactions with the bots. It was very realistic and human like.,I glossed over a question from shay to confirm the fix instead to ask for a root cause analysis. I would have completed the drill quicker if I had have prioritised the ask from shay. So i'll pay more attention to that going forward.
27/04/2026 14:03,8598,jessica.mcdonald,Roblox Workshop,Manual,1,retro,8598,9,2 issues coinciding together was interesting,good to re confirm with the teams on the scope of the issues to identify that its not just 1
27/03/2026 16:05,8234,james.sheppy,Roblox Workshop,Manual,1,retro,8234,10,"Two incidents for the price of one! one not as severe as the other. engaging 3rd parties, remote hands","Prioritising the issues when faced with more than one, kind of related but not really directly"
26/03/2026 09:04,8202,donnchadh.tierney,Roblox Workshop,Manual,1,retro,8202,10,Having 2 issues at once.,Be sure to understand which issue is a priority.
05/03/2026 09:39,7887,mark.mcgarry,Roblox Workshop,Manual,1,retro,7887,9,Panick from uninformed stakeholders. Lack of complaints / any drop in traffic. Given ad services were down expected to see a bigger drop in order totals,"Good to stop. Summarise and then ask where issues could be stemming from.
Don't assume all issues are related"
12/02/2026 10:10,7698,amelia.horwood,Roblox Workshop,Manual,1,retro,7698,9,multiple issues at once,need to clearly report to business comms if there are multiple issues at once
06/01/2026 10:07,7270,ellie.walsh,Roblox Workshop,Manual,1,retro,7270,9,There were two separate issues happening,To involve Infra team earlier as needed to reach out to third party
10/06/2026 09:05,9404,lucy.mccormack,Bezs Beatles Day!,AI,0,retro,,,,
24/04/2026 10:06,8569,ruairi.corrigan,Bezs Beatles Day!,AI,1,retro,8569,10,Senior members of team dismissive of junior,That its not always the junior team members change that causes issues
01/04/2026 07:37,8278,ciaran.hurley,Bezs Beatles Day!,AI,1,retro,8278,8,none,"was quite realistic, dan trying to downplay the chance it was his change and then reluctantly rolling back"
30/03/2026 10:12,8243,patrick.collins,Bezs Beatles Day!,AI,1,retro,8243,10,the engineer stating the change wouldnt have impacted anything when it did.,check what region was out.
14/01/2026 15:03,7408,jessica.mcdonald,Bezs Beatles Day!,AI,1,retro,7408,8,"Nothing unexpected - it was a helpful drill, high pressure.","I think I should be more assertive with the engineers to get services restored rather than being passive.
I think I improved with the comms from the last drill and kept the business updated."
11/06/2026 03:17,9416,lucy.mccormack,The Big Investor,AI,1,retro,,,,
12/06/2026 03:37,9439,lucy.mccormack,Rumours,AI,1,retro,,,,
12/06/2026 03:06,9438,lucy.mccormack,Rumours,AI,1,retro,,,,
18/05/2026 10:03,8973,patrick.collins,Rumours,AI,1,retro,8973,10,it was simple to me as its one of the first things i check when i see an issue that no one else is experiencing.,DTA.
08/05/2026 10:08,8784,ruairi.corrigan,Rumours,AI,1,retro,8784,8,Good to have an incident which isnt customer impacting but serious,Not over complicate
15/04/2026 07:33,8429,ciaran.hurley,Rumours,AI,1,retro,8429,8,none have seen many of these local isseus for high level employees,always check impact and start with local issues
30/03/2026 14:02,8253,jessica.mcdonald,Rumours,AI,1,retro,8253,7,nothing really unexpected. good to see an isolated incident rather than specific to a change thats impacting an entire region/the whole customer set.,"checking with the wider team around other reports, checking local settings/issues."
08/01/2026 09:07,7314,donnchadh.tierney,Rumours,AI,1,retro,7314,10,Local issue was new.,Less severe issues should still be escalated. Need to remember this.
15/04/2026 08:37,8430,mark.mcgarry,The Chain Workshop,Manual,1,retro,8430,8,"Team members jumping in later than normal. Usually hands on sooner, but more realistic. Multi-change impact was a good touch","Can be isolated to multiple changes
Should have put a banner on the website while troubleshooting"
26/03/2026 10:06,8204,amelia.horwood,The Chain Workshop,Manual,1,retro,8204,9,That there were 3 changes needing rolled back. And issue wasnt immediatly fixed following rollbacl,To not give up :)
24/02/2026 15:06,7811,leah.murphy,The Chain Workshop,Manual,1,retro,7811,10,Change fixed it temporarily not permanently,Wait before confirming with users
20/01/2026 15:11,7473,elsa.savage,The Chain Workshop,Manual,1,retro,7473,8,timing on when changes were made differing to when issue occured,"The practice of restoration over root cause analysis helped to eliminate possible causes of the incident and led to faster restoration time.

Using grounding when communicating with the team to establish a common ground, in doing this the team became more organized as they had a mutual understanding of the current state of the drill."
19/01/2026 12:05,7460,zach.davis,The Chain Workshop,Manual,1,retro,7460,10,Having to react to what was initially perceived to be root cause not actually being the complete case - having to push further to identify root cause and resolve,"Effective communication between stakeholders and Bez
Not to assume the first 'obvious' smoking gun is the complete root cause"
15/01/2026 15:06,7433,ritchie.mcgrath,The Chain Workshop,Manual,1,retro,7433,7,Changes rolled back but could not see the issue resolved - perhaps a cache issue with the website or part of the drill that issues dont resolve instantly,Always verify the incident is fully resolved
14/01/2026 10:15,7399,caoimhe.kelly,The Chain Workshop,Manual,1,retro,7399,8,multiple changes having a knock on effect,communicating efficiently the issue to each party
11/05/2026 15:15,8834,leah.murphy,Cart-astrophe,Manual,1,retro,8834,10,That changes were pushed by Shay with no crosscheck,Not sure
10/03/2026 10:02,7943,jamie.dow,Cart-astrophe,Manual,1,retro,7943,10,"The fact that Tanya has pushed two recent PROD changes, but was AWOL meant that we had limited information on her changes and validation steps. We needed to roll back all related changes in the past day to restore.",It's important to make sure that people prioritize the major incident instead of customer calls.
23/02/2026 11:34,7794,jack.walsh,Cart-astrophe,Manual,1,retro,7794,9,"Tanya not being available, this happens in the real world so a good test.","Cross check all changes within the same period, I checked and linked 2/3 but missed one. Additionally, important to escalate early in the event of an issue if a team member is not responding."
16/01/2026 11:03,7448,ciara.scullion,Cart-astrophe,Manual,1,retro,7448,10,"Use grounding to communicate the current working theory. During the incident, it's important to ensure the incident response team has the same mutual understanding of the current state of play.",Dont relay on one person to fix a change
12/06/2026 04:12,9441,lucy.mccormack,Missing Delivery,Manual,1,retro,,,,
12/06/2026 04:10,9440,lucy.mccormack,Missing Delivery,Manual,1,retro,,,,
29/04/2026 07:34,8626,ciaran.hurley,Missing Delivery,Manual,1,retro,8626,10,the third party element was very good,always assess the whole supply chain
23/02/2026 15:02,7800,jessica.mcdonald,Missing Delivery,Manual,1,retro,7800,9,interesting to do a drill that was an issue with the 3rd party vendor,"escalating with vendors when the incident is outside of the organisations control, looping in the right people to escalate"
15/01/2026 09:05,7417,donnchadh.tierney,Missing Delivery,Manual,1,retro,7417,10,More questions and expectations from Bez.,Be more aware of the business implications and relay these to Bez earlier.
09/01/2026 16:04,7358,james.sheppy,Missing Delivery,Manual,1,retro,,,,
16/03/2026 15:03,8037,jessica.mcdonald,Radio Silence,Manual,1,retro,8037,8,Having to chase up when people are being unresponsive,Reprioritising tasks appropriately for the rest of the team (Tanya being DND as on other deliverables)
29/01/2026 09:05,7551,donnchadh.tierney,Radio Silence,Manual,1,retro,7551,10,Engineers being off or not available.,Learn the website better.
22/01/2026 10:04,7496,amelia.horwood,Radio Silence,Manual,1,retro,7496,9,Couldn't get to the bottom of it,Still learning
13/01/2026 09:37,7381,mark.mcgarry,Radio Silence,Manual,1,retro,7381,7,"Issue with the website that went unnoticed
Team members unavailable","Verifying the issues with different metrics. Generic of ""drop in sales"" , what has dropped etc.
Checking each service that may have been effected in a change"
05/05/2026 14:02,8710,elsa.savage,Version confusion,Manual,1,retro,,,,
28/04/2026 09:04,8610,ellie.walsh,Version confusion,Manual,1,retro,8610,8,The severity wasn't high to start but more users started reporting the issue as the drill went on,Take control even when team members are cooperating
21/04/2026 15:03,8533,leah.murphy,Version confusion,Manual,1,retro,8533,9,"Lower impact issue, engineering using wrong data",Fact check with the lead of that area
