datetime,player,channel,message
2026-04-15 12:19:21,uptimelabs,online-boutique-8437,"Welcome to Once Upon a Time in Production, the responsibility is on you to size up the problem.

*Access game links by pressing the Uptime Labs Logo in the top right of the screen*
*Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-04-15 12:20:37,bob,online-boutique-8437,"Hey Everyone just in, customers are reporting the site images are not appearing, is this true?."
2026-04-15 12:21:05,PLAYER,online-boutique-8437,"yes, website looks blank"
2026-04-15 12:21:07,uptimelabs,online-boutique-8437,:star: Reproduces the incident
2026-04-15 12:21:10,PLAYER,online-boutique-8437,i will create an incident  
2026-04-15 12:21:11,bob,online-boutique-8437,We're getting a lot of customer complaints about missing images and the storefront looking broken.
2026-04-15 12:21:15,bob,online-boutique-8437,Let me know if you need more details on customer impact or ticket volume as you set up the incident.
2026-04-15 12:21:18,daniel,online-boutique-8437,I can see that some product images like the mug and sunglasses aren't loading for me either.
2026-04-15 12:21:20,PLAYER,online-boutique-8437,uploading image
2026-04-15 12:21:25,shay,online-boutique-8437,"I'm also seeing some images missing, like the mug and sunglasses, but product details are still visible."
2026-04-15 12:22:00,PLAYER,online-boutique-8437,
2026-04-15 12:22:01,uptimelabs,business-comms-8437,*Incident Number INC1084:* P1 incident website is missing some product images and details
2026-04-15 12:22:02,daniel,online-boutique-8437,"I can confirm that some images aren't loading for me either, but the rest of the page content is still there."
2026-04-15 12:22:03,bez,business-comms-8437,How many customers or orders are impacted by this issue?
2026-04-15 12:22:22,PLAYER,online-boutique-8437,"okay, thanks for checking all. Can we please get the list of changes that went live today "
2026-04-15 12:22:23,daniel,online-boutique-8437,Checking recent changes...
2026-04-15 12:22:24,uptimelabs,online-boutique-8437,:star: Check changes done to the platform
2026-04-15 12:22:39,daniel,online-boutique-8437,I did deploy a chaos test for ProductCatalogueService earlier.
2026-04-15 12:22:44,daniel,online-boutique-8437,But that's UAT only — nothing in prod.
2026-04-15 12:22:47,daniel,online-boutique-8437,Also added some extra logging in checkout.
2026-04-15 12:22:51,daniel,online-boutique-8437,"Just log fields, shouldn't affect performance."
2026-04-15 12:22:54,shay,online-boutique-8437,I pushed a small frontend UI tweak earlier.
2026-04-15 12:22:55,bez,business-comms-8437,What's teh customer experience like ?
2026-04-15 12:22:57,PLAYER,online-boutique-8437,bob  is it affecting all customers?
2026-04-15 12:22:59,shay,online-boutique-8437,Loading animation + accessibility stuff.
2026-04-15 12:22:59,uptimelabs,online-boutique-8437,:star: Asking questions to validate impact of the problem
2026-04-15 12:23:02,shay,online-boutique-8437,No backend or infra changes.
2026-04-15 12:23:08,bob,online-boutique-8437,"checking reports, let me get back to you on what customers are saying"
2026-04-15 12:23:23,PLAYER,business-comms-8437,"Hi, we have a P1 incident. Orders are fully down 
Customers are unable to see some product images "
2026-04-15 12:23:26,uptimelabs,online-boutique-8437,:star: Qualify the problem
2026-04-15 12:23:26,uptimelabs,online-boutique-8437,:star: Formally assign criticality level to the incident
2026-04-15 12:23:33,bob,online-boutique-8437,"From what we can tell, the site isn't fully down. Customers can load pages and navigate categories, but something feels off visually"
2026-04-15 12:23:40,bob,online-boutique-8437,"A few people mentioned pages look ""incomplete"" or ""not finished loading"""
2026-04-15 12:24:01,bez,business-comms-8437,Which regions or countries are affected by this outage?
2026-04-15 12:24:17,PLAYER,business-comms-8437,shay daniel  is there any issues with cache? 
2026-04-15 12:24:35,PLAYER,online-boutique-8437,shay daniel is there any issues with cache? 
2026-04-15 12:24:39,shay,online-boutique-8437,I haven't seen any cache errors in the frontend logs so far.
2026-04-15 12:25:15,PLAYER,online-boutique-8437,daniel  lets rollback the production deployment which went live to rule it out 
2026-04-15 12:25:18,uptimelabs,online-boutique-8437,:star: Restoration over root cause analysis
2026-04-15 12:25:20,daniel,online-boutique-8437,"Understood, I'll start the rollback of the latest production deployment now."
2026-04-15 12:25:24,PLAYER,online-boutique-8437,shay  do you see errors in any other service? 
2026-04-15 12:25:25,daniel,online-boutique-8437,Checking application logs now…
2026-04-15 12:25:50,daniel,online-boutique-8437,Seeing a huge spike in requests hitting ProductCatalogueService.
2026-04-15 12:25:55,daniel,online-boutique-8437,WARN [ProductCatalogueService] Request timed out after 3000ms path=/productCatalogue method=GET
2026-04-15 12:25:58,shay,online-boutique-8437,Seeing slow dependency calls too.
2026-04-15 12:26:01,bez,business-comms-8437,"I need a clear update on the number of customers and orders currently impacted, and confirmation if we are losing revenue right now."
2026-04-15 12:26:02,shay,online-boutique-8437,WARN [ProductCatalogueService] Slow response from downstream dependency latency=1800ms
2026-04-15 12:26:05,daniel,online-boutique-8437,PCS pod CPU is extremely high right now.
2026-04-15 12:26:09,daniel,online-boutique-8437,"Service isn't crashing, but it's clearly struggling to keep up."
2026-04-15 12:26:45,PLAYER,online-boutique-8437,Can we add more pods to it? 
2026-04-15 12:26:51,PLAYER,online-boutique-8437,to balance the load? 
2026-04-15 12:26:59,PLAYER,online-boutique-8437,while we investigate? 
2026-04-15 12:27:05,daniel,online-boutique-8437,But we dont know whats causing this
2026-04-15 12:27:19,PLAYER,online-boutique-8437,
2026-04-15 12:27:19,uptimelabs,business-comms-8437,"*Incident Number INC1018:* update we are seeing issues with PCS, we are looking at options to mitigate it"
2026-04-15 12:27:21,daniel,online-boutique-8437,We can scale up PCS pods to handle more traffic while we dig deeper.
2026-04-15 12:27:31,PLAYER,online-boutique-8437,Lets scale up while we investigate the root cause 
2026-04-15 12:27:54,PLAYER,online-boutique-8437,Was there any change on Recommendation service ?>
2026-04-15 12:27:57,tanya,online-boutique-8437,No recent deployments or changes have gone live for the Recommendation service.
2026-04-15 12:28:00,bez,business-comms-8437,What is the estimated time to resolution and how many users are currently affected?
2026-04-15 12:28:06,PLAYER,online-boutique-8437,tanya anything else you are seeing on platform/? 
2026-04-15 12:28:10,tanya,online-boutique-8437,"Checking infra now, give me a moment."
2026-04-15 12:28:13,PLAYER,online-boutique-8437,for recommendation service mainly 
2026-04-15 12:28:19,PLAYER,online-boutique-8437,is it sending out more traffic to PCS? 
2026-04-15 12:28:29,PLAYER,business-comms-8437,We dont have an ETA at the moment 
2026-04-15 12:28:30,tanya,online-boutique-8437,Seeing a lot more traffic reaching backend services than usual.
2026-04-15 12:28:35,tanya,online-boutique-8437,PCS request rate is way above baseline.
2026-04-15 12:28:39,tanya,online-boutique-8437,Been doing a comparison with Checkout and Frontend.
2026-04-15 12:28:39,PLAYER,business-comms-8437,As we havent identified the root cause 
2026-04-15 12:28:44,tanya,online-boutique-8437,"And they seem fine, let me show you"
2026-04-15 12:28:47,tanya,online-boutique-8437,https://i.ibb.co/fVY8zWQj/Checkout.png
2026-04-15 12:28:49,tanya,online-boutique-8437,https://i.ibb.co/Kk5gHqt/Frontend.png
2026-04-15 12:28:51,tanya,online-boutique-8437,https://i.ibb.co/chz2PJSH/PCS.png
2026-04-15 12:28:53,tanya,online-boutique-8437,PCS is the clear outlier.
2026-04-15 12:28:56,tanya,online-boutique-8437,Might be worth looping in Security to rule out something external.
2026-04-15 12:29:05,tanya,online-boutique-8437,"No, the Incident Manager isn't sending extra traffic to PCS; the spike seems to be coming from external sources."
2026-04-15 12:29:08,tanya,online-boutique-8437,"Right, Incident Manager is mostly tied to Recommendation, but PCS traffic is unrelated and much higher than normal."
2026-04-15 12:29:09,PLAYER,business-comms-8437,All customers are partially impacted. 
2026-04-15 12:29:23,PLAYER,business-comms-8437,"Some orders are still going through but, we are 90% down "
2026-04-15 12:29:56,PLAYER,online-boutique-8437,maya  any security issues? 
2026-04-15 12:29:58,maya,online-boutique-8437,Looking at the alerts now.
2026-04-15 12:29:59,bez,business-comms-8437,Confirm which regions are experiencing this 90% drop in orders.
2026-04-15 12:30:15,PLAYER,online-boutique-8437,tanya  Which is the source of traffic for pcs? 
2026-04-15 12:30:18,maya,online-boutique-8437,Seeing a big spike hitting image-related endpoints.
2026-04-15 12:30:20,PLAYER,online-boutique-8437,daniel  is the service scaled up now? 
2026-04-15 12:30:22,uptimelabs,online-boutique-8437,:star: Manage actions and timings
2026-04-15 12:30:23,maya,online-boutique-8437,WAF rate-limit rules are firing.
2026-04-15 12:30:27,maya,online-boutique-8437,"ALERT: image-endpoint-rate-limit threshold=4,000/5min observed=15,000 action=BLOCK"
2026-04-15 12:30:30,maya,online-boutique-8437,ALERT: anomalous-request-rate endpoint=/productCatalogue status=triggered
2026-04-15 12:30:33,maya,online-boutique-8437,I'm calling this for now — looks like we're under a DDoS attack.
2026-04-15 12:30:38,maya,online-boutique-8437,Before we start mitigation please update the business
2026-04-15 12:30:48,daniel,online-boutique-8437,"Yes, PCS pods have been scaled up and are handling more traffic now."
2026-04-15 12:30:53,tanya,online-boutique-8437,"Most of the traffic is coming from a handful of IPs, mainly outside our usual customer regions."
2026-04-15 12:30:56,PLAYER,online-boutique-8437,
2026-04-15 12:30:56,uptimelabs,business-comms-8437,*Incident Number INC1022:* Converting this into a security incident. We are currently under DDOS attack
2026-04-15 12:30:58,maya,online-boutique-8437,"Let me know when you've updated the business, then I'll walk you through mitigation steps."
2026-04-15 12:31:22,PLAYER,online-boutique-8437,please walk down the mitigations teps 
2026-04-15 12:31:28,maya,online-boutique-8437,Let me send over some information to you.
2026-04-15 12:31:53,PLAYER,business-comms-8437,We are working on blocking the traffic which is causing surge of traffic on the website 
2026-04-15 12:31:58,bez,business-comms-8437,How long until normal order flow is restored and which regions are most affected by the DDOS?
2026-04-15 12:32:21,PLAYER,online-boutique-8437,maya  do we have a rough ETA ?
2026-04-15 12:32:28,maya,online-boutique-8437,"This document outlines the difference between DoS and DDoS attacks, as well as the mitigation strategies for each"
2026-04-15 12:32:34,maya,online-boutique-8437,https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/769163265/DoS+V+DDoS+Attack+Understanding+the+Difference
2026-04-15 12:32:59,PLAYER,online-boutique-8437,"Mitigation :
 1. Filter Traffic
 Set Up Firewalls and Rules:

 Use firewall rules to block suspicious IPs.

 Implement rate-limiting to restrict the number of requests from a single source.

Geo-blocking:

Block traffic from regions unrelated to your business.



2. Use a DDoS Protection Service

Services like Cloudflare, AWS Shield, or Akamai offer automatic traffic filtering and mitigation.

Preventative Measures

Deploy a Web Application Firewall (WAF):

Protect against application-layer attacks.

Use DNS Load Balancing:

Distribute requests across multiple data centers.

Regular Security Audits:

Test network vulnerabilities and address potential risks."
2026-04-15 12:33:05,maya,online-boutique-8437,Creating a list of the most active IP addresses now..
2026-04-15 12:33:05,PLAYER,online-boutique-8437,Can we please start with step 1? 
2026-04-15 12:33:15,maya,online-boutique-8437,"Alright ive starting blocking, i'll send over a list now"
2026-04-15 12:33:23,PLAYER,business-comms-8437,ETA 15 mins. We are blocking the traffic 
2026-04-15 12:33:25,maya,online-boutique-8437,Blocked IP addresses:
