datetime,player,channel,message
2026-03-16 11:36:50,shay,online-boutique-8027,Morning team! Feeling pumped for the big ?Hipster Haul? event this week?
2026-03-16 11:36:53,bez,online-boutique-8027,Absolutely! Can't wait to see all our hard work pay off. 
2026-03-16 11:36:57,tanya,online-boutique-8027,"Agreed, it's going to be a game-changer for us"
2026-03-16 11:37:03,bob,online-boutique-8027,Customer support team standing by to handle any queries. Let's do this!
2026-03-16 11:37:08,bez,online-boutique-8027,"Team, the excitement is palpable! I have full confidence in each of you to make this event a roaring success."
2026-03-16 11:37:12,bez,online-boutique-8027,"Let's showcase our best and leave our customers thrilled with what we have to offer. Together, we'll make it happen!"
2026-03-16 11:37:15,tinus,online-boutique-8027,"Absolutely, Bez! And let's not forget the potential revenue boost this event could bring. Our projections are looking promising."
2026-03-16 11:37:18,tanya,online-boutique-8027,:moneybag: :moneybag: :moneybag:
2026-03-16 11:37:21,daniel,online-boutique-8027,Fingers crossed everything goes smoothly this time! :crossed_fingers: :joy:
2026-03-16 11:37:28,uptimelabs,online-boutique-8027,"Welcome to Details Matter, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-03-16 11:39:03,tinus,online-boutique-8027,"Speaking of celebrations, any recommendations for a post-event holiday destination? I could use some time off after this!"
2026-03-16 11:39:08,maya,online-boutique-8027,How about a tropical paradise with no Wi-Fi? :desert_island: 
2026-03-16 11:39:12,bob,online-boutique-8027,"Hey folks, hate to rain on the parade, but I've got some new reports coming in about customers encountering issues with the products on the website."
2026-03-16 11:39:17,daniel,online-boutique-8027,"Yeah, Bob, anything specific you're noticing? Error messages, affected payment methods?"
2026-03-16 11:39:21,bob,online-boutique-8027,Customers are not able to place orders
2026-03-16 11:39:25,tanya,online-boutique-8027,"Alright team, let's get to work. Tinus, you can start planning that holiday once we've got this sorted!."
2026-03-16 11:39:29,tinus,online-boutique-8027,"Deal! But first, let's get to the bottom of this issue"
2026-03-16 11:39:32,bez,online-boutique-8027,"Hey team, just dropping in to emphasise the urgency of resolving this issue swiftly. We've got a major event on the horizon - the launch of our exclusive ""Hipster Haul Weekend"" next week."
2026-03-16 11:39:37,bez,online-boutique-8027,"It's poised to be our biggest sale yet, and any delays caused by this payment glitch could seriously impact our preparations."
2026-03-16 11:39:40,bez,online-boutique-8027,Let's prioritise frequent updates and keep the communication channels wide open.
2026-03-16 11:39:44,shay,online-boutique-8027,We have a lot of recent changes made to the platform so im going to compile a list with the changes and the descriptions.
2026-03-16 11:39:49,shay,online-boutique-8027,Will send it over soon
2026-03-16 11:39:53,PLAYER,online-boutique-8027,Hey @bob - can you confirm if all customers are impacted?
2026-03-16 11:39:56,uptimelabs,online-boutique-8027,:star: Asking questions to validate impact of the problem
2026-03-16 11:40:15,bob,online-boutique-8027,Sure
2026-03-16 11:40:16,bob,online-boutique-8027,from what i can tell most of the reports seems to be coming from the two regions
2026-03-16 11:40:19,bob,online-boutique-8027,My team has gathered the customer reports as of the last 3 hours to make it easier to understand
2026-03-16 11:40:23,bob,online-boutique-8027,
2026-03-16 11:40:25,PLAYER,online-boutique-8027,I am able to place orders fine - @tanya / @daniel can you place orders on your end? 
2026-03-16 11:40:27,uptimelabs,online-boutique-8027,:star: Attempt to replicate the issue
2026-03-16 11:40:35,bob,online-boutique-8027,Perhaps its similar to our incident in Frankfurt with the network being down for that region?
2026-03-16 11:41:15,PLAYER,online-boutique-8027,I see the issue when accessing Japan and Turkey currencies. 
2026-03-16 11:41:16,daniel,online-boutique-8027,Let me try
2026-03-16 11:41:17,uptimelabs,online-boutique-8027,:star: Reproduces the incident
2026-03-16 11:41:27,daniel,online-boutique-8027,I am able to place an order
2026-03-16 11:41:58,tanya,online-boutique-8027,"Right , same for me as well. In JPY and TRY , its showing up an error"
2026-03-16 11:42:19,PLAYER,online-boutique-8027,
2026-03-16 11:42:19,uptimelabs,business-comms-8027,*Incident Number INC100071:* - SEV1 - Multiple Customers cannot place orders (JPY and TRY Regions).
2026-03-16 11:42:27,bez,business-comms-8027,Whats going on ? How many user reports have we got so far ?
2026-03-16 11:42:53,PLAYER,online-boutique-8027,Have any changes been made recently to the impacted regions specifically? @tanya and @daniel ?
2026-03-16 11:42:56,uptimelabs,online-boutique-8027,:star: Check changes done to the platform
2026-03-16 11:43:33,PLAYER,online-boutique-8027,"Error received: 

HTTP Status: 500 Internal Server Error

Error Message: rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp 172.20.164.247:7000: connect: connection refused"" failed to fetch necessary data for processing

Function: main.(*dataProcessor).fetchData

File: /src/data_processor.go:124

We apologize for the inconvenience. Our system encountered an unexpected issue while attempting to retrieve essential data. Our team is actively investigating the problem. Please try your request again later."
2026-03-16 11:43:34,daniel,online-boutique-8027,"Not region specific but we made quite a lot of changes with currency service, payment service and product catalogue service"
2026-03-16 11:43:35,uptimelabs,online-boutique-8027,:star: Qualify the problem
2026-03-16 11:43:39,shay,online-boutique-8027,Here are the recent changes : https://uptime-labs.atlassian.net/wiki/external/YjZjNWFhYjFlZmQ0NDBmOWFlZDNlY2VjNDUxNzc4NjA
2026-03-16 11:44:00,PLAYER,online-boutique-8027,What is this address? 172.20.164.247:7000
2026-03-16 11:44:11,tanya,online-boutique-8027,Let me check
2026-03-16 11:44:18,PLAYER,online-boutique-8027,Adding @hamed  as well. 
2026-03-16 11:44:20,uptimelabs,online-boutique-8027,:star: Escalating when required
2026-03-16 11:44:26,tanya,online-boutique-8027,This belongs to currency service
2026-03-16 11:44:31,PLAYER,business-comms-8027,We have users unable to place orders in JPY and TRY regions. 
2026-03-16 11:44:42,PLAYER,business-comms-8027,Team are investigating - updates to follow. 
2026-03-16 11:44:52,daniel,online-boutique-8027,I can see currency service is throwing up lot of errors
2026-03-16 11:45:14,PLAYER,online-boutique-8027,@bob can you get external COMMS out saying we are aware of an issue with customers using JPY and TRY currencies? 
2026-03-16 11:45:26,bob,online-boutique-8027,"Sure, I can take care of it."
2026-03-16 11:45:39,PLAYER,online-boutique-8027,Let's start there - @daniel / @tanya - what changes are currency related that were pushed today?
2026-03-16 11:45:41,uptimelabs,online-boutique-8027,:star: Reviewed changes
2026-03-16 11:45:44,bez,business-comms-8027,Have you found where exactly is the issue ?
2026-03-16 11:45:53,PLAYER,online-boutique-8027,@bob do you have the first report of when customers started to see issues? 
2026-03-16 11:46:15,daniel,online-boutique-8027,"I can see Tanya , Hamed and Maya made changes to this service"
2026-03-16 11:46:36,daniel,online-boutique-8027,"This is what i'm seeing in error logs 
ERROR: Authentication failed for currency exchange rate service. ERROR CODE: 401 Unauthorized"
2026-03-16 11:46:40,PLAYER,online-boutique-8027,"Checking the site, I also don't see the US $ currency available - is this related to the changes? "
2026-03-16 11:47:11,bob,online-boutique-8027,Started around an hour ago
2026-03-16 11:47:12,PLAYER,online-boutique-8027,@hamed and @maya can you please provide an update on the intended action of your changes? Coulld this be causing the issue? 
2026-03-16 11:47:22,PLAYER,business-comms-8027,Working on it. 
2026-03-16 11:47:51,tanya,online-boutique-8027,This looks more like an authentication failure while trying to fetch prices for these currencies from the exchange
2026-03-16 11:48:16,PLAYER,online-boutique-8027,"CHG89692
CHG89692:CurrencyService:version 0.7.0-14.2.1 deployed:PROD:Hamed
PROD
Hamed
2026-03-16 03:38:57

CHG89873
CHG89873:CurrencyService:version 0.8.0-6.0.2 deployed:PROD:Maya
PROD
Maya
2026-03-16 09:38:57"
2026-03-16 11:48:27,maya,online-boutique-8027,Sure let me check
