datetime,player,channel,message
2025-11-05 11:03:13,tinus,online-boutique-6608,"Hi team, let's have a mood check send an emoji to describe your mood"
2025-11-05 11:03:17,tinus,online-boutique-6608,"I'll go first, :thumbsup:"
2025-11-05 11:03:23,tanya,online-boutique-6608,:thumbsup:
2025-11-05 11:03:25,tinus,online-boutique-6608,I'm excited about showing off all your hard work at todays stakeholder meeting
2025-11-05 11:03:28,daniel,online-boutique-6608,":skull: knackered, had a few too many late nights this week"
2025-11-05 11:03:31,shay,online-boutique-6608,:rainbow:
2025-11-05 11:03:34,hamed,online-boutique-6608,living the dream :smile:
2025-11-05 11:03:38,bez,online-boutique-6608,:smirk: im excited to see the show too
2025-11-05 11:03:40,tinus,online-boutique-6608,shouldn't you be prepping for the meeting 
2025-11-05 11:03:43,bez,online-boutique-6608,:sweat_smile: i am indeed I'll leave you lot to it
2025-11-05 11:03:45,shay,online-boutique-6608,hang in there @daniel its gonne be the weekend sooner or later :joy:
2025-11-05 11:03:48,tinus,online-boutique-6608,I should get on with my prep too have a good day team
2025-11-05 11:03:49,daniel,online-boutique-6608,@shay strict diet of energy drink for me today lol
2025-11-05 11:03:52,daniel,online-boutique-6608,hope the presentation goes well @tinus
2025-11-05 11:03:54,tanya,online-boutique-6608,:raised_hands:
2025-11-05 11:04:10,UptimeLabs,online-boutique-6608,"Welcome to Rumours, remember communication is key to diagnose the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-05 11:10:46,PLAYER,online-boutique-6608,Clicked undefined button
2025-11-05 11:10:58,PLAYER,online-boutique-6608,Clicked Start button
2025-11-05 11:10:58,UptimeLabs,online-boutique-6608,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-05 11:11:01,tinus,online-boutique-6608,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500?"
2025-11-05 11:11:03,tinus,online-boutique-6608,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
"
2025-11-05 11:11:05,tinus,online-boutique-6608,Metrics
2025-11-05 11:11:08,tanya,online-boutique-6608,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Caoimhe Kelly"
2025-11-05 11:11:11,shay,online-boutique-6608,Come on this can't be happening!
2025-11-05 11:11:13,tinus,online-boutique-6608,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything"
2025-11-05 11:11:16,shay,online-boutique-6608,ok looking into this now
2025-11-05 11:11:36,PLAYER,online-boutique-6608,can we confirm if this is effecting everyone?
2025-11-05 11:11:44,UptimeLabs,online-boutique-6608,:star: Asking questions to validate impact of the problem
2025-11-05 11:11:49,PLAYER,online-boutique-6608,Clicked org button
2025-11-05 11:11:57,PLAYER,online-boutique-6608,Bob
2025-11-05 11:12:06,Bob,online-boutique-6608,"Sure, give me few min"
2025-11-05 11:12:23,Bob,online-boutique-6608,"But I dont think so, as everything was quite"
2025-11-05 11:12:30,PLAYER,online-boutique-6608,yeah I can check out okay
2025-11-05 11:12:42,UptimeLabs,online-boutique-6608,:star: Attempt to replicate the issue
2025-11-05 11:12:48,PLAYER,online-boutique-6608,Shay find anything?
2025-11-05 11:12:50,Shay,online-boutique-6608,I tried to purchase and had no issue.
2025-11-05 11:12:52,UptimeLabs,online-boutique-6608,:star: Manage actions and timings
2025-11-05 11:13:06,PLAYER,online-boutique-6608,Tinus how are you doing this demo
2025-11-05 11:13:16,PLAYER,online-boutique-6608,as the issue is not happening for anyone else
2025-11-05 11:13:28,Tinus,online-boutique-6608,I have a meeting in 10 minutes
2025-11-05 11:14:00,Shay,online-boutique-6608,There were a couple of deployment made earlier today perhaps one of those could lead to this issue <https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1113292847/Rumours+-+Change+Request+Logs>
2025-11-05 11:14:07,PLAYER,online-boutique-6608,Tanya could you help check
2025-11-05 11:14:29,Bob,online-boutique-6608,No reports from customers
2025-11-05 11:14:44,PLAYER,online-boutique-6608,Shay Daniel can we narrow down this issue
2025-11-05 11:14:50,Bob,online-boutique-6608,"As I said, The phone's silent
No calls from any customer"
2025-11-05 11:14:50,PLAYER,online-boutique-6608,is it with checkout service?
2025-11-05 11:15:19,UptimeLabs,online-boutique-6608,:bulb: Declare an incident.
2025-11-05 11:15:34,PLAYER,online-boutique-6608,local issue with checkout service
2025-11-05 11:15:34,PLAYER,business-comms-6608,*Incident Number INC100049:* local issue with checkout service
2025-11-05 11:15:34,UptimeLabs,online-boutique-6608,:star: Incident record created
2025-11-05 11:15:36,UptimeLabs,online-boutique-6608,:star: Send first comms in first 5 minutes
2025-11-05 11:15:40,UptimeLabs,online-boutique-6608,:star: Qualify the problem
2025-11-05 11:15:42,Tinus,online-boutique-6608,"Can you get this resolved quick please
This is important demo for us"
2025-11-05 11:15:56,PLAYER,business-comms-6608,"looking into this, appears to be a local issue with checkout"
2025-11-05 11:16:11,Tanya,online-boutique-6608,Checked network and everything seems fine from our end
2025-11-05 11:16:36,PLAYER,online-boutique-6608,Tanya Shay Daniel can we go through the change request logs - would any of these effect it?
2025-11-05 11:16:44,UptimeLabs,online-boutique-6608,:star: Reviewed changes
