index,datetime,player,channel,message
0,2025-08-05 16:06:47,Bez,online-boutique-5272,"Hey everyone. I'm pumped today about our flash sale"
1,2025-08-05 16:06:53,Bez,online-boutique-5272,"You know it's been 53 years since the Beatles released Abbey Road right? My favourite album"
2,2025-08-05 16:06:58,Tanya,online-boutique-5272,"53 years already?? Wow that makes me feel old..."
3,2025-08-05 16:07:03,Bez,online-boutique-5272,"Indeed! We're celebrating today by promoting a flash sale on retro items from 1969"
4,2025-08-05 16:07:09,Bez,online-boutique-5272,"I re-watched Paul McCartney's Glastonbury set last night to get in the mood!"
6,2025-08-05 16:09:39,PLAYER,online-boutique-5272,"Clicked org button"
7,2025-08-05 16:10:55,luiscarlos.tineo,business-comms-5272,"*Incident Number INC100075:* slow connection sev1"
8,2025-08-05 16:12:52,PLAYER,online-boutique-5272,"Clicked Start button"
10,2025-08-05 16:12:54,Tinus,online-boutique-5272,"That sounds great Bez. Huge Beatles fan myself here"
11,2025-08-05 16:12:59,Tinus,online-boutique-5272,"We've just deployed a couple of changes into prod earlier but we should be all good"
12,2025-08-05 16:13:04,Tinus,online-boutique-5272,"We're a step closer to allowing folks to pay for items from the 1960s with Bitcoin thanks to Daniel!"
13,2025-08-05 16:13:07,Daniel,online-boutique-5272,"Think of it like time travelling!"
14,2025-08-05 16:13:11,Bez,online-boutique-5272,"Wow good work Daniel! Looking forward to seeing it in action in prod"
15,2025-08-05 16:13:15,Tinus,online-boutique-5272,"How's the test-driven development going?"
16,2025-08-05 16:13:20,Daniel,online-boutique-5272,"TDDs going well. We are as solid as a rock! Though don't ask me what the Liskov Substitution Principle is..."
17,2025-08-05 16:13:27,Shay,online-boutique-5272,"erm - funny you should say that Daniel I'm just testing my checkout service change in prod and I can't complete the payment - something's up"
18,2025-08-05 16:13:34,Shay,online-boutique-5272,"I hope my checkout service change is all good. Can someone check its not just me? And before you ask yes I've cleared my cookies"
19,2025-08-05 16:13:40,Tanya,online-boutique-5272,"Sorry Daniel it's not looking good on my end either"
20,2025-08-05 16:13:43,Tinus,online-boutique-5272,"Uh oh...here we go again"
21,2025-08-05 16:13:47,Tinus,online-boutique-5272,"@Luis Tineo can you ""Size up the Issue"" please and keep us informed"
22,2025-08-05 16:13:49,Bob,online-boutique-5272,"From what I can see it looks like we are still getting orders through"
23,2025-08-05 16:13:57,Daniel,online-boutique-5272,"It can't be payments service the new code shouldn't be invoked yet"
24,2025-08-05 16:14:03,Daniel,online-boutique-5272,"@Luis Tineo it's worth having a look at the checkout service change first"
25,2025-08-05 16:14:07,Shay,online-boutique-5272,"@Luis Tineo what should I look at first?"
27,2025-08-05 16:14:26,Bez,online-boutique-5272,"Get this sorted ASAP!!!"
28,2025-08-05 16:14:34,Daniel,online-boutique-5272,"@Bob it could be UK only issue? I can also see orders coming through"
29,2025-08-05 16:14:44,PLAYER,online-boutique-5272,"there was a change at 15:14"
31,2025-08-05 16:14:59,Shay,online-boutique-5272,"let's see if that's the change related"
32,2025-08-05 16:15:10,PLAYER,online-boutique-5272,"the orders are down"
34,2025-08-05 16:15:26,Bob,online-boutique-5272,"I'm checking reports to find out more"
35,2025-08-05 16:15:36,Bob,online-boutique-5272,"let me know if there is anything specific you need to know"
36,2025-08-05 16:15:48,PLAYER,online-boutique-5272,"Shay can you check on that change please"
38,2025-08-05 16:16:09,Shay,online-boutique-5272,"on it"
39,2025-08-05 16:16:32,Bob,online-boutique-5272,"From what i can see this is only affecting UK only we got 200+ reports regarding payment issues"
40,2025-08-05 16:17:08,Shay,online-boutique-5272,"I will checking the checkout service first"
41,2025-08-05 16:17:52,Shay,online-boutique-5272,"I can't see any errors in checkout logs"
42,2025-08-05 16:17:53,PLAYER,online-boutique-5272,"Tanya Daniel can you reproduce on other regions?"
44,2025-08-05 16:18:01,Shay,online-boutique-5272,"Deployment also looks clean"
45,2025-08-05 16:18:11,Tanya,online-boutique-5272,"will try"
46,2025-08-05 16:18:23,Shay,online-boutique-5272,"It doesn't work for me (UK)"
47,2025-08-05 16:18:31,Daniel,online-boutique-5272,"I will see what i can do"
48,2025-08-05 16:19:06,Daniel,online-boutique-5272,"Could it be your checkout change again @Shay? It broke the platform last we"
49,2025-08-05 16:19:13,PLAYER,online-boutique-5272,"what other changes have been done for the checkout process"
50,2025-08-05 16:19:21,PLAYER,online-boutique-5272,"can we revert?"
51,2025-08-05 16:19:27,Tanya,online-boutique-5272,"Traffic is high due to the flash sale but nothing abnormal in CPU/memory usage"
53,2025-08-05 16:19:37,Shay,online-boutique-5272,"Checkout is safe to rollback"
54,2025-08-05 16:19:43,PLAYER,online-boutique-5272,"lets try that"
55,2025-08-05 16:19:44,Shay,online-boutique-5272,"there is payments and ad service"
56,2025-08-05 16:20:04,Shay,online-boutique-5272,"Performing a rollback"
57,2025-08-05 16:20:05,PLAYER,online-boutique-5272,"who can chec on the ad service to see if its impacting?"
58,2025-08-05 16:20:17,Daniel,online-boutique-5272,"I will check rest of the services"
60,2025-08-05 16:21:01,luiscarlos.tineo,business-comms-5272,"*Incident Number INC100020:* sev1"
62,2025-08-05 16:21:02,Daniel,online-boutique-5272,"I will check ad service"
64,2025-08-05 16:21:22,Bez,business-comms-5272,"What seems to be the issue? Is this regional?"
65,2025-08-05 16:21:27,Shay,online-boutique-5272,"Rollback complete"
66,2025-08-05 16:21:32,Shay,online-boutique-5272,"is it any better?"
67,2025-08-05 16:21:33,PLAYER,business-comms-5272,"We found an issue with the payment process the teams are already investigating"
69,2025-08-05 16:21:53,PLAYER,business-comms-5272,"we are performing a rollback on the last change to the checkout service"
70,2025-08-05 16:22:02,Daniel,online-boutique-5272,"Ad service is healthy and deployment is healthy"
71,2025-08-05 16:22:03,PLAYER,business-comms-5272,"more updates to follow"
72,2025-08-05 16:22:19,Shay,online-boutique-5272,"Could it be payments?"
73,2025-08-05 16:22:20,PLAYER,business-comms-5272,"this seems to be affecting only the UK will confirm."
74,2025-08-05 16:22:20,Daniel,online-boutique-5272,"Could Shay’s change in Checkout be skipping some validation maybe?"
75,2025-08-05 16:22:30,Daniel,online-boutique-5272,"My change couldn’t be an issue it was to support crypto payment although the code hasn't been invoked yet so I doubt that's to do with it"
76,2025-08-05 16:22:56,PLAYER,online-boutique-5272,"Daniel thats a posibility Shay how are we doing with the rollback"
78,2025-08-05 16:23:31,Shay,online-boutique-5272,"I still see the same error"
79,2025-08-05 16:23:39,Tanya,online-boutique-5272,"The Payments service health check is returning HTTP 504 and latency has spiked"
80,2025-08-05 16:23:40,PLAYER,online-boutique-5272,"Orders are still down what else has changed since 16:00"
81,2025-08-05 16:23:56,Shay,online-boutique-5272,"Perhaps it is the payments"
82,2025-08-05 16:24:00,Daniel,online-boutique-5272,"Honestly I don’t think this is coming from my change. The Bitcoin feature isn’t even active yet and the frontend hasn’t been updated"
83,2025-08-05 16:24:30,Bez,business-comms-5272,"Do we know how many customers are affected?"
84,2025-08-05 16:24:49,Bez,business-comms-5272,"Have we notified the customers about the issue"
85,2025-08-05 16:24:56,PLAYER,online-boutique-5272,"Daniel is it safe to revert the payments change?"
86,2025-08-05 16:25:36,PLAYER,online-boutique-5272,"Bob How many customers impacted so far?"
88,2025-08-05 16:25:53,Daniel,online-boutique-5272,"It is but I don't think it's the payments since the code is not invoked yet"
89,2025-08-05 16:25:56,PLAYER,online-boutique-5272,"can we notify them we are working on the issue?"
90,2025-08-05 16:26:05,Bob,online-boutique-5272,"We have received so far 380+ reports"
91,2025-08-05 16:26:12,Bob,online-boutique-5272,"Already on it"
92,2025-08-05 16:26:22,PLAYER,business-comms-5272,"there is 380+ reports so far"
93,2025-08-05 16:26:33,Shay,online-boutique-5272,"I think we should rollback the payments"
94,2025-08-05 16:26:33,PLAYER,business-comms-5272,"working on communications"
95,2025-08-05 16:26:48,PLAYER,online-boutique-5272,"Daniel please perform the rollback"
96,2025-08-05 16:26:54,PLAYER,online-boutique-5272,"we will follow from there"
97,2025-08-05 16:26:55,Shay,online-boutique-5272,"My change doesn't match with the time of the incident"
98,2025-08-05 16:27:06,Daniel,online-boutique-5272,"are we sure on this"
99,2025-08-05 16:28:13,PLAYER,online-boutique-5272,"Bob when was the first report received?"
100,2025-08-05 16:28:22,Bob,online-boutique-5272,"checking"
101,2025-08-05 16:28:43,PLAYER,online-boutique-5272,"Daniel yeah rollback baby!"
103,2025-08-05 16:29:01,Daniel,online-boutique-5272,"Understood i will perform the rollback"
104,2025-08-05 16:29:18,Bob,online-boutique-5272,"it looks like the first report was submitted around 15:30"
105,2025-08-05 16:29:31,Daniel,online-boutique-5272,"rollback complete"
106,2025-08-05 16:29:55,PLAYER,online-boutique-5272,"testing?"
