datetime,player,channel,message
2025-12-09 11:34:40,Bez,online-boutique-7062,Hey team!:rocket: Can you believe it's been 8 fantastic years for Online Boutique?
2025-12-09 11:34:44,Bez,online-boutique-7062,"Before we dive into anniversary celebrations, let's give a warm welcome to Maya, our new Security Analyst. She's got 5 years of cybersecurity expertise under her belt! :clap: "
2025-12-09 11:34:49,Maya,online-boutique-7062,"Hi everyone! :raised_hand_with_fingers_splayed: Thrilled to be here, especially on such a special occasion. Let's make Online Boutique even successful and secure together!"
2025-12-09 11:34:52,Tinus,online-boutique-7062,"Welcome, Maya! Your experience will elevate our cybersecurity efforts."
2025-12-09 11:34:56,Tanya,online-boutique-7062,"Excited to have you, Maya! Bez has been very excited to have you on the team."
2025-12-09 11:34:59,Daniel,online-boutique-7062,"Impressive! Eager to learn from you, Maya."
2025-12-09 11:35:03,Shay,online-boutique-7062,":+1: Welcome Maya, pleasure meeting you."
2025-12-09 11:35:06,Bob,online-boutique-7062,Hi Maya! Your experience is top-notch. Cheers to you and to Online Boutique's 8-year anniversary! :partying_face: :tada:
2025-12-09 11:35:09,Maya,online-boutique-7062,Thanks for the warm welcome! Excited for the celebration and our anniversary party.
2025-12-09 11:35:19,UptimeLabs,online-boutique-7062,"Welcome to The Switch, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-12-09 11:36:15,PLAYER,online-boutique-7062,Clicked undefined button
2025-12-09 11:36:28,PLAYER,online-boutique-7062,Clicked org button
2025-12-09 11:36:49,PLAYER,online-boutique-7062,Clicked Start button
2025-12-09 11:36:50,UptimeLabs,online-boutique-7062,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-12-09 11:36:51,Bez,online-boutique-7062,We are all so glad you have joined us Maya
2025-12-09 11:36:53,Tinus,online-boutique-7062,"Hold on, team. Quick check-in. Is anyone else experiencing internet problems or slow connectivity?"
2025-12-09 11:36:56,Shay,online-boutique-7062,"Internet's definitely sluggish, was loading up github and it took ages to load"
2025-12-09 11:36:59,Bez,online-boutique-7062,Perhaps it could be due to the increase of sales we have been having with this anniversary sale?
2025-12-09 11:37:01,Hamed,online-boutique-7062,"Hey team, we've seen some weird traffic from our data centre network in the last couple of days, it's been mostly minor but never as bad compared to now although"
2025-12-09 11:37:05,Tanya,online-boutique-7062,Hamed and I will have been monitoring outbound traffic. Checking for anomalies again.
2025-12-09 11:37:12,Daniel,online-boutique-7062,I will try to place an order and check the platform.
2025-12-09 11:37:22,Shay,online-boutique-7062,Just ran a test on my internet speed.
2025-12-09 11:37:25,Shay,online-boutique-7062,Internet Speed Test
2025-12-09 11:37:41,PLAYER,online-boutique-7062,I will try placing order in website as well
2025-12-09 11:37:44,UptimeLabs,online-boutique-7062,:star: Reproduces the incident
2025-12-09 11:38:17,PLAYER,online-boutique-7062,no lag while placing the orders
2025-12-09 11:38:25,PLAYER,online-boutique-7062,Shay can you replicate the same once
2025-12-09 11:38:26,UptimeLabs,online-boutique-7062,:star: Attempt to replicate the issue
2025-12-09 11:38:52,Shay,online-boutique-7062,I don't even have access to YouTube or Github
2025-12-09 11:38:57,PLAYER,online-boutique-7062,Bob are we seeing any customers complaints regarding the slowness
2025-12-09 11:39:06,Shay,online-boutique-7062,No site access for me
2025-12-09 11:39:07,UptimeLabs,online-boutique-7062,:star: Asking questions to validate impact of the problem
2025-12-09 11:39:15,Bob,online-boutique-7062,I'll check the reports now
2025-12-09 11:39:39,PLAYER,online-boutique-7062,Tanya any anomalies found in the outbound traffic?
2025-12-09 11:39:42,UptimeLabs,online-boutique-7062,:star: Facts over opinion
2025-12-09 11:39:59,PLAYER,online-boutique-7062,Daniel were you able to place the deal on website?
2025-12-09 11:40:03,Tanya,online-boutique-7062,"I'll check now, I'll need a moment to investigate"
2025-12-09 11:40:11,Daniel,online-boutique-7062,I have no issues
2025-12-09 11:40:25,PLAYER,online-boutique-7062,sure Tanya please check it and get back in another 3 mins.
2025-12-09 11:40:29,UptimeLabs,online-boutique-7062,:star: Track actions and time box them
2025-12-09 11:40:30,Bob,online-boutique-7062,I have some reports dating back as far as two weeks ago complaining about slowness on the site
2025-12-09 11:40:37,Tanya,online-boutique-7062,Sure thing Boss
2025-12-09 11:41:08,PLAYER,online-boutique-7062,Shay can you provide me the list of changes that has gone throught in last two weeks
2025-12-09 11:41:11,UptimeLabs,online-boutique-7062,:star: Check changes done to the platform
2025-12-09 11:41:41,Bob,online-boutique-7062,"I'm seeing a mixture of reports now, with the site not loading for some customers (timeouts) and it taking too long to load between each page"
2025-12-09 11:41:43,PLAYER,online-boutique-7062,slowness while loading website for some P3
2025-12-09 11:41:43,PLAYER,business-comms-7062,*Incident Number INC100078:* slowness while loading website for some P3
2025-12-09 11:41:53,Shay,online-boutique-7062,Sure thing
2025-12-09 11:42:08,Shay,online-boutique-7062,<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1113522209/The+Switch+-+Change+Request+Logs>
2025-12-09 11:42:12,PLAYER,online-boutique-7062,Bob are the reports comings from all over globe or any particular region
2025-12-09 11:42:44,Bob,online-boutique-7062,These reports are global
2025-12-09 11:43:17,PLAYER,online-boutique-7062,sre
2025-12-09 11:43:19,PLAYER,online-boutique-7062,sure
2025-12-09 11:43:46,Bez,business-comms-7062,Any update?
2025-12-09 11:43:56,PLAYER,online-boutique-7062,Shay can you review this change *CHG89462. There was some changes done around caching. Get back in another 2 min if you find somehing*
2025-12-09 11:44:02,PLAYER,online-boutique-7062,Bob any drop in sales
2025-12-09 11:44:02,UptimeLabs,online-boutique-7062,:star: Reviewed changes
2025-12-09 11:44:04,Tanya,online-boutique-7062,I have found something. There is a spike in outbound connections in the edge router and the origin ip block 10.50.0.0/24. That ip range is the same as the ip block the frontend and payments are hosted on.
2025-12-09 11:44:14,PLAYER,business-comms-7062,"yes, the issue seems to be global"
2025-12-09 11:44:20,UptimeLabs,online-boutique-7062,:star: Qualify the problem
2025-12-09 11:44:21,PLAYER,business-comms-7062,getting the sales related numbers from bob
2025-12-09 11:44:24,Bob,online-boutique-7062,"We do see a decline in sales, due to the site performance, a lot of frustrated users"
2025-12-09 11:44:34,PLAYER,business-comms-7062,No Decline in sales
2025-12-09 11:44:39,Bob,online-boutique-7062,That's not counting the users who can't access the site at all
2025-12-09 11:44:51,Shay,online-boutique-7062,I'll double check my change
2025-12-09 11:45:33,PLAYER,online-boutique-7062,Tanya do we need Maya help here?
2025-12-09 11:45:34,Shay,online-boutique-7062,"I'm not seeing any errors related to that service in the logs, is the service not visible?"
