"datetime","player","message"
"09/09/2025 13:33:58","Maya","@Kritika Iyer let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"09/09/2025 13:34:02","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"09/09/2025 13:34:11","Kritika Iyer","Yes please"
"09/09/2025 13:34:25","Maya","This is the private chat"
"09/09/2025 13:34:28","Kritika Iyer","<@U0480TP9ZA5> / <@U047N6LHU0K> <@U047N6LUYJX>"
"09/09/2025 13:34:41","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security. That means they're on standby for scenarios like this - to investigate, contain, and guide us through recovery"
"09/09/2025 13:34:42","Kritika Iyer","please refrain from adding everyone on this chat"
"09/09/2025 13:34:56","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage. Once that's done, they'll begin full forensics to trace the origin and impact"
"09/09/2025 13:34:57","Kritika Iyer","we are not in favour of paying so lets plan the next steps"
"09/09/2025 13:35:06","Maya","Meanwhile, I'd gotten a checklist from Cyvantics earlier for situations like this. @Kritika Iyer, can you help track the steps and coordinate? We've got this, together."
"09/09/2025 13:35:08","Maya","<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
"09/09/2025 13:35:16","Maya","I'm up here coordinating with Cyvantics and our team, I need you to track the checklist steps closely. It's a high stake situation, i might miss something in between"
"09/09/2025 13:35:21","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help run through them with Tanya, Hamed, and Daniel so we can hit the ground fast"
"09/09/2025 13:35:36","Tanya","Checking..."
"09/09/2025 13:35:37","Kritika Iyer","What is impacted, what is the scope, do we know how many systems have been breached"
"09/09/2025 13:35:45","Tanya","From what I'm seeing, the impact seems limited to the checkout servers. We haven't spotted similar symptoms on the others so far"
"09/09/2025 13:35:46","Kritika Iyer","do we have PII data which is leaked for the clients?"
"09/09/2025 13:35:51","Maya","Also, I checked. All other servers have security agents running and reporting normally. The only ones missing agents were the checkout servers - which feels a bit off"
"09/09/2025 13:36:35","Kritika Iyer","fine so if it is just the checkout servers, what options we have"
"09/09/2025 13:36:55","Kritika Iyer","does checkout server store any PII or sensitive information that we need to cater to?"
"09/09/2025 13:37:16","Maya","We should move further with the isolation steps mentioned in the playbook"
"09/09/2025 13:37:29","Kritika Iyer","lets do that"
"09/09/2025 13:37:39","Kritika Iyer","can I get a rundown of who is checking what?"
"09/09/2025 13:38:33","Kritika Iyer","1. Disconnect the infected server -&gt; <@U047N6LUYJX> 
2. Cut off infrastructure traffic -&gt; <@U047N6LUYJX> 
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; <@U047N6LUYJX> 
5. Take snapshots (Disk &amp; Memory) -&gt; <@U047N6LHU0K> 
6. Kill suspicious process or activity -&gt; <@U047N6LUYJX> 
"
"09/09/2025 13:38:41","Kritika Iyer","can we start with the above asap"
"09/09/2025 13:38:47","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"09/09/2025 13:38:51","Tanya","Disconnecting the checkout servers from the infra now"
"09/09/2025 13:38:53","Daniel","I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
"09/09/2025 13:38:55","Hamed","I'll verify if any shared storage is still attached to the checkout DB"
"09/09/2025 13:39:07","Daniel","Step 3 done, DB connection to checkout is now cut. Also confirmed that we have a daily backup job in place running at 2AM everyday"
"09/09/2025 13:39:09","Tanya","Step 1 done, Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
"09/09/2025 13:39:11","Hamed","Step 4 confirmed, No shared storage attached to checkout, which makes sense since checkout has its standalone storage"
"09/09/2025 13:39:17","Tanya","Step 2 completed, Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
"09/09/2025 13:39:18","Kritika Iyer","thanks please confirm here as we go"
"09/09/2025 13:39:22","Maya","Step 5 done, Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed, we're good to kill the script now"
"09/09/2025 13:39:32","Hamed","Step 6 done, The Script has been killed. @Kritika Iyer let us know and double-check if anything else is pending on our side"
"09/09/2025 13:39:32","Kritika Iyer","can we further check on the restoration steps"
"09/09/2025 13:40:01","Hamed","The whole website is down now"
"09/09/2025 13:40:03","Maya","Yes, we must have a backup. Platform team can confirm us"
"09/09/2025 13:40:12","Hamed","Correct, we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders - and today's sale had huge numbers"
"09/09/2025 13:40:15","Maya","Isolation is complete. We're good to move toward restoration using the backup storage now"
"09/09/2025 13:40:18","Maya","@Kritika Iyer could you please confirm with business before moving forward on this"
"09/09/2025 13:40:21","Kritika Iyer","Steps to be done, mentioned along with the *owning* team
1. Validate backups → <@U06CA3MRAJF> 
2. Wipe infected systems → <@U047N6LUYJX> 
3. Rebuild from clean backup → <@U047N6LUYJX> 
4. Re-enable security agent on the servers → <@U06CA3MRAJF> 
5. Reconnect traffic to services and monitor → <@U047N6LUYJX> 
"
"09/09/2025 13:40:27","Maya","I've called in @Bob to the channel"
"09/09/2025 13:40:29","Bob","I hear you need my help, what exactly should I look into?"
"09/09/2025 13:40:31","Kritika Iyer","yes please"
"09/09/2025 13:40:39","Bob","I've checked the numbers - in just 8 hours since the sale started, we're already staring at approx $180k loss"
"09/09/2025 13:41:10","Kritika Iyer","lets backup as well before moving ahead"
"09/09/2025 13:41:18","Maya","Are we aligned on the financial loss with the business?"
"09/09/2025 13:42:10","Kritika Iyer","<@U047N91SRH8> the loss is 180$ K if we have to restore from backup is that correct?"
"09/09/2025 13:42:20","Bob","We will be losing $180k worth of orders that came in last 8 hours during the sale"
"09/09/2025 13:42:29","Bob","Yes, Bez needs to confirm if thats okay to take loss"
"09/09/2025 13:43:05","Kritika Iyer","agreed with Bez, we happy to proceed"
"09/09/2025 13:43:14","Maya","Thanks for the go-ahead. I've rechecked and confirmed that only checkout components were impacted. @Kritika Iyer, please track all restoration steps"
"09/09/2025 13:43:16","Kritika Iyer","also how much time does it take for restoration?"
"09/09/2025 13:43:23","Maya","I'm now validating the backup storage to ensure it's safe"
"09/09/2025 13:43:26","Hamed","I'm provisioning new checkout servers, will update once ready"
"09/09/2025 13:43:31","Maya","Approx 5 mins"
"09/09/2025 13:43:32","Maya","Backup is clean and safe. @Hamed, you can start rebuilding checkout from backup storage"
"09/09/2025 13:43:34","Kritika Iyer","ok thanks"
"09/09/2025 13:43:36","Hamed","Thanks, Maya. New servers are ready. I'll start rebuilding now using backup storage"
"09/09/2025 13:43:43","Hamed","Rebuild completed"
"09/09/2025 13:43:47","Maya","I've enabled the security agents (EDR) on checkout servers"
"09/09/2025 13:43:50","Daniel","I'll monitor application health once services are restored"
"09/09/2025 13:43:53","Maya"," @Kritika Iyer , can you confirm all tasks are wrapped up and we are good to bring the traffic back? Just want to be sure, as this is the final restoration step before we move"
"09/09/2025 13:44:18","Kritika Iyer","so we have completed all the 4 restorations steps?"
"09/09/2025 13:44:24","Kritika Iyer","if yes we good to proceed further"
"09/09/2025 13:44:29","Maya","The last step is to bring up the network"
"09/09/2025 13:44:35","Kritika Iyer","lets do it"
"09/09/2025 13:44:37","Tanya","Thanks for the go ahead. Bringing up network traffic in progress?"
"09/09/2025 13:44:56","Tanya","Restoration completed"
"09/09/2025 13:45:00","Daniel","Just went through the logs - nothing critical showing up right now. I'll keep a close watch, so just in case anything crops up"
"09/09/2025 13:45:03","Maya","Nice ? nothing shady on the restored systems. I'll keep scanning logs just to be safe"
"09/09/2025 13:45:11","Kritika Iyer","<@U047N91SRH8> can you confirm clients are back on"
"09/09/2025 13:45:18","Bob","Just placed a test order - it went through! Customer calls have gone down in last min"
"09/09/2025 13:45:21","Bob","Wait!! getting a bunch of new complaints now. Users are neither able to see their return requests nor able to place new returns on the site"
"09/09/2025 13:45:28","Maya","Yeah, that's probably the missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup"
"09/09/2025 13:45:30","Tanya","Tough, but expected :)"
"09/09/2025 13:45:31","Kritika Iyer","I was able to test as well"
"09/09/2025 13:45:31","Bob","What should I tell them? Can you check with business before sending anything out?"
"09/09/2025 13:46:17","Bob","still there is an issue"
"09/09/2025 13:46:26","Bob","<https://uptimelabs-metaverse.slack.com/archives/C09EAK8H3B8/p1757425521962339>"
"09/09/2025 13:46:58","Kritika Iyer","is this still a problem?"
"09/09/2025 13:47:34","Bob","The users who placed orders in last 8 hrs are not able to see it due to the use of backup storage"
"09/09/2025 13:47:44","Kritika Iyer","We can inform the customers that due to spike in incoming traffic clients were unable to checkout their orders"
"09/09/2025 13:47:56","Bob","They are asking for refunds, and the solution"
"09/09/2025 13:48:05","Kritika Iyer","do we need to take any steps to ensure they are compensated?"
"09/09/2025 13:48:14","Bob","Bez could help us in this"
"09/09/2025 13:48:49","Kritika Iyer","I have asked him"
"09/09/2025 13:49:04","Kritika Iyer","Keeping it high-level, just say website restored, but there's an issue with few orders. We'll refund them, and customers will get a $10 gift voucher as an apology"
"09/09/2025 13:49:05","Maya","@Kritika Iyer I've received the forensics report from Cyvantics Security"
"09/09/2025 13:49:08","Maya","forensics"
"09/09/2025 13:49:11","Kritika Iyer","this is what we can inform the customers"
"09/09/2025 13:49:25","Maya","Aslo, I just finished combing through Shay's mailbox. There's something important here, I found two emails from what looks like our monitoring vendor - ClearTech"
"09/09/2025 13:49:27","Maya","phished_email"
"09/09/2025 13:49:35","Maya","Here's my observation by going over the comparison
• One is from <mailto:support@clear-tech.com|support@clear-tech.com>, which matches their legitimate domain. The other came from <mailto:updates@cleartech.com|updates@cleartech.com> - note the absence of hyphen in the domain 
• The legit one points to their HTTPS portal requiring login. But the phished one uses urgency, saying 'apply immediately', and links directly to an .exe on <http://cleartech.com>. That's the one Shay clicked 
• This explains the compromise - Shay unknowingly ran the malicious executable disguised as a patch"
"09/09/2025 13:49:45","Maya","We will take this forward in PIR , for now website is restored"
"09/09/2025 13:49:55","Maya","Alright, since everything's back up and stable, we can now move back to the main #online-boutique channel. No further actions left here"
"09/09/2025 13:50:56","Kritika Iyer","yes, and can we also send some communication to all our internal users not to click on the links and tag such emails as phising?"
"09/09/2025 13:51:05","Maya","Sure, we will take it forward with internal training"
