datetime,player,channel,message
2026-02-27 13:26:07,uptimelabs,online-boutique-7846,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-27 13:28:18,bob,online-boutique-7846,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-02-27 13:28:25,bob,online-boutique-7846,This is strange
2026-02-27 13:28:31,bob,online-boutique-7846,Just seen a couple of reports of customers not receiving the right item on delivery
2026-02-27 13:28:36,tinus,online-boutique-7846,Hmm? that sounds strange. @utopkara-bloomberg.net can you take point and start sizing this up?
2026-02-27 13:28:47,PLAYER,online-boutique-7846,sounds good
2026-02-27 13:29:26,PLAYER,online-boutique-7846,
2026-02-27 13:29:26,uptimelabs,business-comms-7846,*Incident Number INC100091:* customers not receiving the right item on delivery sev-3
2026-02-27 13:29:26,uptimelabs,online-boutique-7846,:star: Incident record created
2026-02-27 13:29:35,bez,business-comms-7846,How big is this problem?
2026-02-27 13:29:54,uptimelabs,online-boutique-7846,:bulb: Understand the problem by reproducing it
2026-02-27 13:30:05,PLAYER,online-boutique-7846,@bob can you pull up the tickets for the customer complaints
2026-02-27 13:30:08,uptimelabs,online-boutique-7846,:star: Asking questions to validate impact of the problem
2026-02-27 13:30:10,bob,online-boutique-7846,Checking reports...
2026-02-27 13:30:17,PLAYER,online-boutique-7846,is there a pattern in the reports?
2026-02-27 13:30:34,bob,online-boutique-7846,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-02-27 13:30:45,bob,online-boutique-7846,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-02-27 13:30:50,bob,online-boutique-7846,We have currently got more than 17 complaints so far
2026-02-27 13:31:39,bez,business-comms-7846,"Hi @Umut , are teh customers able to place orders?"
2026-02-27 13:31:47,PLAYER,online-boutique-7846,Have all 17 received the items they have ordered correctly?
2026-02-27 13:32:09,bob,online-boutique-7846,"I think , right in thier confirmation emails, they are getting wrong product than they ordered"
2026-02-27 13:32:17,bob,online-boutique-7846,This is a bit confusing
2026-02-27 13:32:21,bob,online-boutique-7846,Gathering more information....
2026-02-27 13:32:43,bob,online-boutique-7846,The customers are complaining that the image is not matching up with the product name
2026-02-27 13:32:53,bob,online-boutique-7846,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-02-27 13:32:54,PLAYER,online-boutique-7846,"@bob to clarify:
- clients have ordered an item, and have received a different item
is this correct?"
2026-02-27 13:33:44,bob,online-boutique-7846,I think teh confirmation itself is wrong
2026-02-27 13:33:44,bob,online-boutique-7846,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-02-27 13:33:56,PLAYER,online-boutique-7846,@daniel please can you check the logs of the 17 tickets and investigate the mismatch
2026-02-27 13:33:59,uptimelabs,online-boutique-7846,:star: Manage actions and timings
2026-02-27 13:34:02,daniel,online-boutique-7846,"I tried to place orders , i am able to place with otu any issue"
2026-02-27 13:34:04,bob,online-boutique-7846,I'm receiving more cancellation/refund requests than new orders. @utopkara-bloomberg.net What shall we do now? 
2026-02-27 13:34:10,daniel,online-boutique-7846,"is there a problem , can you try please"
2026-02-27 13:34:34,bez,business-comms-7846,I'm concerned we might be doing more harm than good by letting the new orders continue... 
2026-02-27 13:35:00,PLAYER,online-boutique-7846,I can see that the item image is not matching the item picked in the cart
2026-02-27 13:35:03,daniel,online-boutique-7846,"Oh hoo, i get it"
2026-02-27 13:35:03,uptimelabs,online-boutique-7846,:star: Qualify the problem
2026-02-27 13:35:04,bob,online-boutique-7846,"Orders are still coming in high volume, and we now have 130+ customers asking to cancel their orders"
2026-02-27 13:35:29,bez,business-comms-7846,"@Umut, what product are the customer buying , One on label or image"
2026-02-27 13:35:48,PLAYER,online-boutique-7846,
2026-02-27 13:35:49,uptimelabs,business-comms-7846,*Incident Number INC100071:* sev-2
2026-02-27 13:35:50,daniel,online-boutique-7846,We could try to halt all incoming orders but not sure on the scale of impact
2026-02-27 13:35:55,bob,online-boutique-7846,@utopkara-bloomberg.net Could you please discuss this with Bez?
2026-02-27 13:36:09,PLAYER,business-comms-7846,There is a problem with the cart images
2026-02-27 13:36:14,PLAYER,business-comms-7846,We have escalated to sev-2
2026-02-27 13:36:16,bez,business-comms-7846,"In that case, we are taking wrong orders"
2026-02-27 13:36:16,uptimelabs,online-boutique-7846,:star: Formally assign criticality level to the incident
2026-02-27 13:36:31,bez,business-comms-7846,This may have a huge financial impact
2026-02-27 13:36:35,bez,business-comms-7846,"If we're taking the wrong orders, then let's pause all incoming orders right away. We can't afford huge returns or refunds"
2026-02-27 13:36:36,PLAYER,business-comms-7846,"Will update as we have more details, there are more than 170 incidents so far"
2026-02-27 13:37:15,bez,business-comms-7846,What's the impact? 
2026-02-27 13:37:17,PLAYER,online-boutique-7846,"@daniel please can you check the latest releases from today, and find out whether there is a possible cause"
2026-02-27 13:37:19,daniel,online-boutique-7846,"Sure, i will take a look at that ,"
2026-02-27 13:37:21,uptimelabs,online-boutique-7846,:star: Check changes done to the platform
2026-02-27 13:37:29,daniel,online-boutique-7846,do we want to make sure that we dont take any new wrong orders?
2026-02-27 13:37:37,shay,online-boutique-7846,Here's the detailed info on each of the changes made today
2026-02-27 13:37:39,shay,online-boutique-7846,Hope this helps:https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-02-27 13:37:55,PLAYER,online-boutique-7846,"@hamed please can you check the databases, and whether there is anything that would cause the references images to be incorrect"
2026-02-27 13:37:58,uptimelabs,online-boutique-7846,:star: Know your team and their roles
2026-02-27 13:38:17,hamed,online-boutique-7846,"I will do that @Umut - we are taking wrong orders, do you think its worth putting banner or maintenance window so we dont take any new orders ?"
2026-02-27 13:38:34,PLAYER,online-boutique-7846,@daniel  looks like there are some changes to the cart from today
2026-02-27 13:38:50,daniel,online-boutique-7846,"Yes, its safe to rollback, do you want us to rollback"
2026-02-27 13:39:16,PLAYER,online-boutique-7846,@hamed the problem seems to be with the cart view not the orders
2026-02-27 13:39:23,bez,business-comms-7846,"@Umut- we are taking wrong orders, i woudl suggest we stop the bleeding and bring a maintence window"
2026-02-27 13:39:24,PLAYER,online-boutique-7846,yes please roll back asap
2026-02-27 13:39:26,uptimelabs,online-boutique-7846,:star: Restoration over root cause analysis
2026-02-27 13:39:34,hamed,online-boutique-7846,"No, i see th eissue in main page as wel"
2026-02-27 13:39:39,PLAYER,business-comms-7846,we've identified the possible cause
2026-02-27 13:39:42,hamed,online-boutique-7846,all th eimage a nd prodyct name is messe dup
2026-02-27 13:40:02,PLAYER,online-boutique-7846,"OK, let's pull the banner up"
2026-02-27 13:40:04,daniel,online-boutique-7846,I am rolling back now
2026-02-27 13:40:15,daniel,online-boutique-7846,I have rolled back the checkout out change
2026-02-27 13:40:17,PLAYER,business-comms-7846,@bez we'll pull the banner up as you've suggested
2026-02-27 13:40:19,daniel,online-boutique-7846,i still see the issue
2026-02-27 13:40:23,daniel,online-boutique-7846,can you check
2026-02-27 13:40:34,PLAYER,online-boutique-7846,@hamed need you to check the databases
2026-02-27 13:41:01,PLAYER,online-boutique-7846,what has changed between 10 mins ago and now?
2026-02-27 13:41:01,hamed,online-boutique-7846,"Sure, i will check - Lets prioritize the maintenance page, @Dan can you do it"
2026-02-27 13:41:11,daniel,online-boutique-7846,"Whenever needed, we can switch the site to maintenance mode via a feature-flag update in the config repo. It cleanly pauses new orders once business gives the go-ahead"
2026-02-27 13:41:25,hamed,online-boutique-7846,Do we see any errors in the logs ?
2026-02-27 13:41:36,bez,business-comms-7846,Thanks
2026-02-27 13:42:00,PLAYER,business-comms-7846,"@bez just to be clear, is it OK to put the banner up?"
2026-02-27 13:42:02,daniel,online-boutique-7846,Getting up maintenance banner on the website...
2026-02-27 13:42:05,bez,business-comms-7846,"Yes please, go ahead"
2026-02-27 13:42:23,daniel,online-boutique-7846,I dont see any error in any apps
2026-02-27 13:42:24,PLAYER,online-boutique-7846,I got the approval from Bez to put the banner up now
2026-02-27 13:42:31,tanya,online-boutique-7846,"same here , the platform looks okay as well"
2026-02-27 13:42:41,daniel,online-boutique-7846,Ok the website now displays a maintenance banner
2026-02-27 13:42:47,daniel,online-boutique-7846,@utopkara-bloomberg.net How does it look now?
2026-02-27 13:42:59,PLAYER,online-boutique-7846,The site doesn't load for me
2026-02-27 13:43:01,uptimelabs,online-boutique-7846,:star: Reproduces the incident
2026-02-27 13:43:12,bez,business-comms-7846,@utopkara-bloomberg.net Now that we are under maintenance. Let's prioritize resolution
2026-02-27 13:44:07,PLAYER,online-boutique-7846,I don't see the maintenance banner 
2026-02-27 13:44:12,PLAYER,online-boutique-7846,the site doesn't load
2026-02-27 13:44:20,daniel,online-boutique-7846,It should be on
2026-02-27 13:44:26,PLAYER,online-boutique-7846,"OK, I see it now"
2026-02-27 13:44:30,hamed,online-boutique-7846,"The issue could be anywhere, we should look at the configuration mapping between product images and names."
2026-02-27 13:44:41,hamed,online-boutique-7846,@Daniel do you know which application holds this data?
2026-02-27 13:44:46,PLAYER,online-boutique-7846,"all right, who can have a look at the mapping?"
2026-02-27 13:44:49,hamed,online-boutique-7846,"@Tanya,can you check if this is stored in a database or Redis cache?"
2026-02-27 13:44:51,PLAYER,online-boutique-7846,@hamed @daniel ?
2026-02-27 13:44:59,hamed,online-boutique-7846,"@utopkara-bloomberg.net if there are no visible errors, this might be a configuration issue; the above details may help narrow it down."
2026-02-27 13:45:29,daniel,online-boutique-7846,The configuration is stored in the Product Catalogue Service. I pushed a change in UAT yesterday that updates the Redis cache with the latest product names.
2026-02-27 13:45:30,PLAYER,online-boutique-7846,@tanya @hamed were there any configuration changes rolled out for the platforms today?
2026-02-27 13:45:36,tanya,online-boutique-7846,"@Hamed yes, this information is stored in Redis cache and the cache was refreshed earlier today."
2026-02-27 13:45:39,tanya,online-boutique-7846,Dan had one on Redis cache in UAT
2026-02-27 13:45:44,bez,business-comms-7846,Can you send me a photo of what you are seeing wrong with the platform @utopkara-bloomberg.net
2026-02-27 13:46:10,PLAYER,online-boutique-7846,@daniel please can you roll back the change to the configuration?
2026-02-27 13:46:13,bez,business-comms-7846,Whats the latest ? @Umut
2026-02-27 13:46:31,PLAYER,online-boutique-7846,let's bring the site state to the way it was yesterday
2026-02-27 13:46:37,daniel,online-boutique-7846,I can check the database and provide a Redis key dump for product:<id>:name keys 
2026-02-27 13:46:41,uptimelabs,online-boutique-7846,'Redis key dump' means extracting the stored data for specific Redis keys like 'product:<id>:name' so you can see what values are currently saved in the Redis database.
2026-02-27 13:46:53,daniel,online-boutique-7846,Ok here is what i found 
2026-02-27 13:46:55,daniel,online-boutique-7846,"@Umut, checking that"
2026-02-27 13:46:55,daniel,online-boutique-7846,
2026-02-27 13:47:02,tanya,online-boutique-7846,But product_id: 3 is actually 'mug' 
2026-02-27 13:47:04,tanya,online-boutique-7846,
2026-02-27 13:47:06,bez,business-comms-7846,Where are we in the investigation? I just want to know the current working theories
2026-02-27 13:47:10,daniel,online-boutique-7846,"It is, looks like my script has run in PROD and updated the wrong names for each product in DB"
2026-02-27 13:47:15,shay,online-boutique-7846,"Oh no, that not good! Shall we go with a rollback? "
2026-02-27 13:47:35,PLAYER,online-boutique-7846,@daniel what is the best way to roll back?
2026-02-27 13:47:40,tanya,online-boutique-7846,"Its a DB change, rollback might no thelp"
2026-02-27 13:47:51,PLAYER,online-boutique-7846,"Redis is a cache, so perhaps we can invalidate the entries and let it fill up again?"
2026-02-27 13:47:53,daniel,online-boutique-7846,"I think this is cache issue we should clear the cache and restart Product catalogue Service, that will make fresh calls to DB and the cache will be refreshed "
2026-02-27 13:47:54,uptimelabs,online-boutique-7846,:star: Form a working theory
2026-02-27 13:47:57,tanya,online-boutique-7846,"No, Dan's query has updated the wrong names in DB. The data is wrong in DB therfore we will have to rehydrate the canonical database with the correct product Id names ."
2026-02-27 13:48:02,bez,business-comms-7846,Do we have an ETA for the fix?
2026-02-27 13:48:07,daniel,online-boutique-7846,"@Tanya, i think you are complicating an easy solution. A restart should fix this"
2026-02-27 13:48:14,tanya,online-boutique-7846,It your call @utopkara-bloomberg.net
2026-02-27 13:48:31,PLAYER,online-boutique-7846,@hamed please can I get your review on the issue?
2026-02-27 13:48:34,hamed,online-boutique-7846,Sure
2026-02-27 13:48:51,hamed,online-boutique-7846,"lets review, i think the change was implemented on PROD instead of UAT"
2026-02-27 13:49:08,hamed,online-boutique-7846,"that mean, the DB has been updated or populated with wrong data"
2026-02-27 13:49:11,PLAYER,online-boutique-7846,the question is: is the database corrupted with the wrong values
2026-02-27 13:49:23,hamed,online-boutique-7846,"Yes, its a DB corrupt, cache refresh might not help"
2026-02-27 13:49:41,hamed,online-boutique-7846,we should go with tanya's option
2026-02-27 13:49:42,PLAYER,online-boutique-7846,"OK, let's restore the DB from its last known good state"
2026-02-27 13:49:53,PLAYER,online-boutique-7846,@tanya please restore the database
2026-02-27 13:49:55,hamed,online-boutique-7846,We have data stored in canonical DB
2026-02-27 13:49:59,PLAYER,online-boutique-7846,what is the ETA?
2026-02-27 13:50:03,tanya,online-boutique-7846,We will have to follow below steps to Rehydrate the db.
2026-02-27 13:50:08,uptimelabs,online-boutique-7846,'Rehydrate the db' means restoring or repopulating the main database with accurate data from a reliable source or backup.
2026-02-27 13:50:14,tanya,online-boutique-7846,1. **Flush** corrupted product-name keys
2026-02-27 13:50:16,tanya,online-boutique-7846,"```bash
redis-cli --scan --pattern 'product:*:name'| xargs redis-cli del```"
2026-02-27 13:50:22,tanya,online-boutique-7846,2. **Rehydrate** product name cache from canonical DB
2026-02-27 13:50:27,tanya,online-boutique-7846,3. **Restart** frontend/product-catalog-service** to refresh in memory cache
2026-02-27 13:50:32,tanya,online-boutique-7846,4. **Verify** product listings display correct names
