datetime,player,channel,message
2026-01-27 16:01:48,shay,online-boutique-7538,Morning team! Feeling pumped for the big ?Hipster Haul? event this week?
2026-01-27 16:01:51,bez,online-boutique-7538,Absolutely! Can't wait to see all our hard work pay off. 
2026-01-27 16:01:55,tanya,online-boutique-7538,"Agreed, it's going to be a game-changer for us"
2026-01-27 16:02:01,bob,online-boutique-7538,Customer support team standing by to handle any queries. Let's do this!
2026-01-27 16:02:06,bez,online-boutique-7538,"Team, the excitement is palpable! I have full confidence in each of you to make this event a roaring success."
2026-01-27 16:02:10,bez,online-boutique-7538,"Let's showcase our best and leave our customers thrilled with what we have to offer. Together, we'll make it happen!"
2026-01-27 16:02:13,tinus,online-boutique-7538,"Absolutely, Bez! And let's not forget the potential revenue boost this event could bring. Our projections are looking promising."
2026-01-27 16:02:16,tanya,online-boutique-7538,:moneybag: :moneybag: :moneybag:
2026-01-27 16:02:19,daniel,online-boutique-7538,Fingers crossed everything goes smoothly this time! :crossed_fingers: :joy:
2026-01-27 16:02:26,uptimelabs,online-boutique-7538,"Welcome to Details Matter, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-27 16:03:00,tinus,online-boutique-7538,"Speaking of celebrations, any recommendations for a post-event holiday destination? I could use some time off after this!"
2026-01-27 16:03:05,maya,online-boutique-7538,How about a tropical paradise with no Wi-Fi? :desert_island: 
2026-01-27 16:03:09,bob,online-boutique-7538,"Hey folks, hate to rain on the parade, but I've got some new reports coming in about customers encountering issues with the products on the website."
2026-01-27 16:03:14,daniel,online-boutique-7538,"Yeah, Bob, anything specific you're noticing? Error messages, affected payment methods?"
2026-01-27 16:03:18,bob,online-boutique-7538,Customers are not able to place orders
2026-01-27 16:03:22,tanya,online-boutique-7538,"Alright team, let's get to work. Tinus, you can start planning that holiday once we've got this sorted!."
2026-01-27 16:03:26,tinus,online-boutique-7538,"Deal! But first, let's get to the bottom of this issue"
2026-01-27 16:03:29,bez,online-boutique-7538,"Hey team, just dropping in to emphasise the urgency of resolving this issue swiftly. We've got a major event on the horizon - the launch of our exclusive ""Hipster Haul Weekend"" next week."
2026-01-27 16:03:34,bez,online-boutique-7538,"It's poised to be our biggest sale yet, and any delays caused by this payment glitch could seriously impact our preparations."
2026-01-27 16:03:37,bez,online-boutique-7538,Let's prioritise frequent updates and keep the communication channels wide open.
2026-01-27 16:03:41,shay,online-boutique-7538,We have a lot of recent changes made to the platform so im going to compile a list with the changes and the descriptions.
2026-01-27 16:03:46,shay,online-boutique-7538,Will send it over soon
2026-01-27 16:04:26,PLAYER,online-boutique-7538,@bob Do you have any more details about what errors the customers are seeing? I've just been able to place an order myself
2026-01-27 16:04:38,uptimelabs,online-boutique-7538,:star: Attempt to replicate the issue
2026-01-27 16:04:38,uptimelabs,online-boutique-7538,:star: Asking questions to validate impact of the problem
2026-01-27 16:04:53,bob,online-boutique-7538,from what i can tell most of the reports seems to be coming from the two regions
2026-01-27 16:04:56,bob,online-boutique-7538,My team has gathered the customer reports as of the last 3 hours to make it easier to understand
2026-01-27 16:05:00,bob,online-boutique-7538,
2026-01-27 16:05:12,bob,online-boutique-7538,Perhaps its similar to our incident in Frankfurt with the network being down for that region?
2026-01-27 16:06:24,PLAYER,online-boutique-7538,@tanya Could you investigate if there are any logs from the platform that might point to a regional issue like bob mentioned?
2026-01-27 16:06:28,uptimelabs,online-boutique-7538,:star: Facts over opinion
2026-01-27 16:06:39,daniel,online-boutique-7538,"good idea, i will reach out to the network team and ask them if this could be the case"
2026-01-27 16:06:56,tanya,online-boutique-7538,i will take a look into the logs now and see what i can find
2026-01-27 16:07:32,PLAYER,online-boutique-7538,
2026-01-27 16:07:33,uptimelabs,business-comms-7538,*Incident Number INC10003:* Sev-2 Users in Japan & Turkey unable to complete orders
2026-01-27 16:07:37,shay,online-boutique-7538,https://uptime-labs.atlassian.net/wiki/external/YjZjNWFhYjFlZmQ0NDBmOWFlZDNlY2VjNDUxNzc4NjA
2026-01-27 16:07:41,shay,online-boutique-7538,here are the changes today
2026-01-27 16:08:04,daniel,online-boutique-7538,network team are checking
2026-01-27 16:08:17,tanya,online-boutique-7538,"im seeing this in the logs
ERROR: Authentication failed for currency exchange rate service. ERROR CODE: 401 Unauthorized"
2026-01-27 16:08:32,tanya,online-boutique-7538,It mentions the currency exchange rate service
2026-01-27 16:08:37,PLAYER,online-boutique-7538,"@maya Could you check your change CHG89873, as it looks like this might be related"
2026-01-27 16:08:47,uptimelabs,online-boutique-7538,:star: Reviewed changes
2026-01-27 16:08:53,PLAYER,online-boutique-7538,Specifically relating to Japanese and Turkish customers
2026-01-27 16:08:56,maya,online-boutique-7538,"Hey, sure i will take a look now"
2026-01-27 16:09:11,bez,business-comms-7538,how many of our users are from there?
2026-01-27 16:09:12,PLAYER,business-comms-7538,It appears as though Japanese and Turkish customers are unable to place orders successfully.
2026-01-27 16:09:17,uptimelabs,online-boutique-7538,:star: Qualify the problem
2026-01-27 16:09:20,PLAYER,business-comms-7538,They make up 9% of revenue
2026-01-27 16:09:29,shay,online-boutique-7538,can anyone recreate the issue?
2026-01-27 16:09:50,bez,business-comms-7538,"thats not good, what do we think caused this?"
2026-01-27 16:09:53,PLAYER,business-comms-7538,We're currently investigating a change that was made earlier regarding currencies and will report back within 10 minutes.
2026-01-27 16:09:58,uptimelabs,online-boutique-7538,:star: Track actions and time box them
2026-01-27 16:10:10,maya,online-boutique-7538,it seems that my change isnt causing any issues
2026-01-27 16:10:22,maya,online-boutique-7538,the error seems unrelated to my changes
2026-01-27 16:10:43,PLAYER,online-boutique-7538,If I change my currency to JPY on the site I immediately get this error: 
2026-01-27 16:10:49,uptimelabs,online-boutique-7538,:star: Reproduces the incident
2026-01-27 16:10:52,shay,online-boutique-7538,let me try
2026-01-27 16:11:01,shay,online-boutique-7538,Yes i get the same issue as you
2026-01-27 16:11:09,daniel,online-boutique-7538,netowrk team isnt finding any issues
2026-01-27 16:11:33,maya,online-boutique-7538,that definitly looks like an internal issue but im not sure whats causing it
