"datetime","player","message"
"12/09/2025 14:19:42","Maya","@Calum McDowell let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
"12/09/2025 14:19:46","Maya","I'd say one senior person each from security, platform, and engineering. Also add Tanya, tasks could be platform intensive"
"12/09/2025 14:20:18","calum.mcdowell","<@U06CA3MRAJF> happy with this"
"12/09/2025 14:20:35","calum.mcdowell","Could we please invoke our IR retainer please? Agreed with Bez and Tinus"
"12/09/2025 14:20:45","Maya","Yes, we've got an IR(incident response) retainer with Cyvantics Security. That means they're on standby for scenarios like this - to investigate, contain, and guide us through recovery"
"12/09/2025 14:20:55","calum.mcdowell","Can we please call them"
"12/09/2025 14:21:01","Maya","Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage. Once that's done, they'll begin full forensics to trace the origin and impact"
"12/09/2025 14:21:11","Maya","Meanwhile, I'd gotten a checklist from Cyvantics earlier for situations like this. @Calum McDowell, can you help track the steps and coordinate? We've got this, together."
"12/09/2025 14:21:12","Maya","<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
"12/09/2025 14:21:21","Maya","I'm up here coordinating with Cyvantics and our team, I need you to track the checklist steps closely. It's a high stake situation, i might miss something in between"
"12/09/2025 14:21:25","Maya","We've got isolation steps in the playbook, but before we dive in, can you paste that list here? I'll help run through them with Tanya, Hamed, and Daniel so we can hit the ground fast"
"12/09/2025 14:21:53","Maya","I've called Daniel, Tanya and Hamed in this chat"
"12/09/2025 14:22:11","Tanya","Checking..."
"12/09/2025 14:22:20","Tanya","From what I'm seeing, the impact seems limited to the checkout servers. We haven't spotted similar symptoms on the others so far"
"12/09/2025 14:22:26","Maya","Also, I checked. All other servers have security agents running and reporting normally. The only ones missing agents were the checkout servers - which feels a bit off"
"12/09/2025 14:22:26","calum.mcdowell","Steps for Isolation:
Steps to be done, mentioned along with the
*owning* team
1. Disconnect the infected server -&gt; Platforms 
2. Cut off infrastructure traffic -&gt; Platforms
3. Disconnect DB &amp; freeze backup -&gt; Application
4. Detach from Shared Resource -&gt; Platforms
5. Take snapshots (Disk &amp; Memory) -&gt; Ask team
6. Kill suspicious process or activity -&gt; Platforms"
"12/09/2025 14:22:44","Maya","I've given write access to Tanya, Hamed, Daniel, and myself"
"12/09/2025 14:22:48","Tanya","Disconnecting the checkout servers from the infra now"
