datetime,player,channel,message
2025-08-19 16:02:59,tinus,online-boutique-5439,"Hi team, let's have a mood check send an emoji to describe your mood"
2025-08-19 16:03:03,tinus,online-boutique-5439,"I'll go first, :thumbsup:"
2025-08-19 16:03:09,tanya,online-boutique-5439,:thumbsup:
2025-08-19 16:03:11,tinus,online-boutique-5439,I'm excited about showing off all your hard work at todays stakeholder meeting
2025-08-19 16:03:14,daniel,online-boutique-5439,":skull: knackered, had a few too many late nights this week"
2025-08-19 16:03:17,shay,online-boutique-5439,:rainbow:
2025-08-19 16:03:20,hamed,online-boutique-5439,living the dream :smile:
2025-08-19 16:03:24,bez,online-boutique-5439,:smirk: im excited to see the show too
2025-08-19 16:03:26,tinus,online-boutique-5439,shouldn't you be prepping for the meeting 
2025-08-19 16:03:29,bez,online-boutique-5439,:sweat_smile: i am indeed I'll leave you lot to it
2025-08-19 16:03:31,shay,online-boutique-5439,hang in there @daniel its gonne be the weekend sooner or later :joy:
2025-08-19 16:03:34,tinus,online-boutique-5439,I should get on with my prep too have a good day team
2025-08-19 16:03:36,daniel,online-boutique-5439,@shay strict diet of energy drink for me today lol
2025-08-19 16:03:38,daniel,online-boutique-5439,hope the presentation goes well @tinus
2025-08-19 16:03:41,tanya,online-boutique-5439,:raised_hands:
2025-08-19 16:03:56,UptimeLabs,online-boutique-5439,Level 7 start button
2025-08-19 16:08:23,PLAYER,online-boutique-5439,Clicked Start button
2025-08-19 16:08:24,UptimeLabs,online-boutique-5439,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-08-19 16:08:27,tinus,online-boutique-5439,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500?"
2025-08-19 16:08:29,tinus,online-boutique-5439,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
"
2025-08-19 16:08:32,tinus,online-boutique-5439,500 screenshot
2025-08-19 16:08:34,tanya,online-boutique-5439,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Luis Tineo"
2025-08-19 16:08:37,shay,online-boutique-5439,Come on this can't be happening!
2025-08-19 16:08:39,tinus,online-boutique-5439,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything"
2025-08-19 16:08:42,shay,online-boutique-5439,ok looking into this now
2025-08-19 16:09:14,Shay,online-boutique-5439,I can access the website
2025-08-19 16:09:51,PLAYER,online-boutique-5439,"Shay, Daniel, Tanya I see changes from you in the dash. Please confirm if  those are not related to this issue"
2025-08-19 16:09:58,UptimeLabs,online-boutique-5439,:star: Reviewed changes
2025-08-19 16:10:05,Tinus,online-boutique-5439,I'm trying to stall for time - any solution would be appreciated
2025-08-19 16:10:15,Daniel,online-boutique-5439,I'll take look
2025-08-19 16:10:23,Tanya,online-boutique-5439,I'll have a look too
2025-08-19 16:10:44,Daniel,online-boutique-5439,Do we have an incident - I don't see a ticket
2025-08-19 16:10:53,PLAYER,online-boutique-5439,How many customers are impacted?
2025-08-19 16:10:59,UptimeLabs,online-boutique-5439,:star: Asking questions to validate impact of the problem
2025-08-19 16:11:08,PLAYER,online-boutique-5439,Clicked org button
2025-08-19 16:11:21,Bob,online-boutique-5439,I can help with that
2025-08-19 16:11:27,Bob,online-boutique-5439,I'll check reports now
2025-08-19 16:12:04,Tanya,online-boutique-5439,"I have an adservice change, I can see the ads on the site, I don't think it's related to Tinus's issue"
2025-08-19 16:12:07,PLAYER,online-boutique-5439,"I can add the glasses and check out,"
